snippet,headline__main,year_mo_day,compound,negative,neutral,positive
Letter to the editor regarding the juvenile justice system in New York.,Reforming Juvenile Justice,201101,0.5267,0,0.764,0.236
Letters to the editor regarding property taxes in New York State.,What a Property Tax Cap Would Do,201101,0,0,1,0
A response to a plea by Israel for the release of Jonathan Pollard.,Plea for Pollard’s Release,201101,0,0,1,0
Letters to the editor regarding social networking sites and the idea of community.,Changing Notions of Friendship in the Facebook Era,201101,0,0,1,0
"In becoming the first U.S. city to host since 1995, San Francisco beat out Newport, R.I.; a city in Italy; and an undisclosed bidder believed to be in the Middle East.",An America’s Cup by the Bay: San Francisco Is Chosen as the 2013 Host,201101,0,0,1,0
How public services are affected.,New Year’s Day Schedules in New York Region,201101,-0.1531,0.286,0.714,0
"Clearwire, which sells high-speed wireless access, is facing a cash squeeze as it needs billions of dollars to finish building a national network.",Chairman of Clearwire Steps Down,201101,0,0,1,0
Legislators in at least six states said they would propose bills similar to Arizona’s law to fight illegal immigration.,Political Battle on Illegal Immigration Shifts to States,201101,-0.7351,0.267,0.733,0
"Lottery numbers for Connecticut, New Jersey and New York for Dec. 31, 2010.",Lottery Numbers,201101,0,0,1,0
"Don’t leave learning to the young. Older brains can grow, too.","This Year, Change Your Mind",201101,-0.0516,0.107,0.893,0
"Laurent Gbagbo mocked the calls for him to step aside, while the United States said he was running out of time to take an offer to leave peacefully.","In Ivory Coast, Bid to Ease Out Defiant Leader",201101,0.5719,0.104,0.712,0.184
"A Bronx apartment building has served as a beachhead for a number of arriving Bhutanese refugees, but a number have now left the city.","A Building, and a City, as a Way Station to a Better Life",201101,0.1531,0,0.874,0.126
"In spite of aging or changing rosters, or both, Dallas and San Antonio are making the Lakers look vulnerable in the West.","Texas Rivals Are Older, Wiser and Tough as Ever",201101,-0.6486,0.209,0.791,0
The Children’s Aid Society helped Desiree and Robert Whitlow to pay bills while they were jobless and to enroll their daughter with the Dance Theater of Harlem.,Tiding a Couple Over and Helping Their Daughter Learn to Dance,201101,-0.1027,0.051,0.949,0
The Knicks are better than anyone predicted but are still incomplete and hovering somewhere between average and very good.,Missing Pieces Temper Knicks’ Resurgence,201101,0.7383,0,0.732,0.268
Temperatures reaching into the mid-40s aided city workers in their efforts to turn snow into water.,New York Tries to Plow Its Way Back to Normal,201101,0.2023,0,0.893,0.107
The Health Ministry is concentrating on a cheap plastic air pistol that has caused hundreds of eye injuries in Iraq.,Iraq Moves to Ban Toy Guns as Play Turns Real,201101,0,0,1,0
"The new administration in New York State includes many aides to Andrew M. Cuomo’s father, Gov. Mario M. Cuomo. But the old hands are facing new political realities.","Back in Albany, 16 Years Later, to Serve Another Gov. Cuomo",201101,0,0,1,0
The Palestinian president called on the international community on Friday to draft a new formula for peace talks with Israel and set aside the current process that he said was “managing the conflict but not solving it.”,West Bank: Calling for New Peace Talks,201101,-0.2392,0.107,0.836,0.057
"The Giants may spend the postseason on their couches, watching the likes of the Seahawks, a team they beat by 34 points.",Giants’ Slide Could Make a 10th Win Worthless,201101,0.4215,0,0.877,0.123
President Omar Hassan al-Bashir made a rare public appeal on Friday to opposition parties to join a broad-based government just days ahead of a vote that will likely see the south move toward independence.,Sudan: Call for Unity Is Rejected,201101,0.5994,0,0.855,0.145
"A bomb blast tore through a beer garden at a Nigerian Army barracks where revelers had gathered to celebrate New Year’s Eve, witnesses said.",Nigeria: Fatal Bomb Blast at Barracks,201101,0.128,0.124,0.734,0.143
The police detained at least 130 people protesting against restrictions on freedom of assembly and a court decision to keep the tycoon Mikhail B. Khodorkovsky in prison.,Russia: 130 Protesters Are Detained,201101,-0.5574,0.251,0.629,0.12
"Turkish police officers detained 10 people with suspected links to Al Qaeda in operations conducted in Bursa and Istanbul, following tips that the group was plotting attacks ahead of New Year’s Eve, the semiofficial Anatolian Agency reported.",Turkey: 10 Suspects Held in Attack Plot,201101,-0.7579,0.181,0.819,0
The Kremlin’s continued prosecution of the Russian tycoon Mikhail B. Khodorkovsky is connected to the damaged investment climate in the country.,"Guilty Verdict for a Tycoon, and Russia",201101,-0.7269,0.243,0.757,0
The National Transportation Safety Board acted after the airline copied data from a black box in a plane that skidded off a runway.,American Airlines Barred From Safety Board Inquiry,201101,0.4215,0,0.872,0.128
A look at three states where political change in the governor’s mansion — including one that will go from Republican hands to Democratic — may change how Americans live.,Power Shift Toward G.O.P. Resonates in 3 States,201101,0,0,1,0
"An former governor prepares to take the office again, but there is not exactly a flurry of activity.","In California, Few Signs of Transition",201101,0,0,1,0
Governor-elect Scott Walker has said that he hopes to force public employees’ compensation “into line” with everyone else’s.,"Wisconsin State Workers Fret, as G.O.P. Takes Over",201101,0.4215,0,0.859,0.141
The state is facing a budget gap of $4 billion and proponents of privatization say selling the state-run stores could bring in $1 billion or even $2 billion.,A Push to Privatize Pennsylvania Liquor Stores,201101,0,0,1,0
"An arbitrator ruled that the airline could not affix its name or code on United Express flights, which the pilots said would protect jobs.",Continental’s Pilots Win a Round,201101,0.6597,0,0.803,0.197
A veteran of the A train decides to bypass it and take a snowy walk over a distance between two subway stops.,"Missing the A Train, and Taking Not-the-Quickest Way",201101,-0.1531,0.086,0.914,0
"Murat Karayilan, the leader of the Kurdistan Workers’ Party, now sounds more interested in pursuing peace than the war he has led against Turkey.",A Kurdish Rebel Softens His Tone for Skeptical Ears,201101,0.6478,0.118,0.604,0.278
Letter to the editor regarding boxing injuries.,Boxing Injuries Neglected,201101,0,0,1,0
Letter to the editor regarding Title IX and women in sports.,A Crowd to Be Proud Of,201101,0,0,1,0
Letter to the editor regarding overtime rule for N.F.L. playoff games.,Injecting Equity in Overtime,201101,0,0,1,0
"As more and more youth soccer players leave Argentina, local clubs like Boca Juniors and River Plate are paying the price.",Argentina Doesn’t Benefit as Players Go Abroad,201101,0.3182,0.053,0.837,0.11
"Chris Otule’s put-back dunk gave host Marquette a 1-point lead with 1 minutes 23 seconds to play Saturday, and the Golden Eagles held on for a 79-74 victory over West Virginia.",Marquette Wins Opener in Big East Play,201101,0.34,0,0.918,0.082
Manchester United and Manchester City both won to stay tied on points at the top of England’s Premier League.,City Rivals Stay Tied,201101,0.8074,0,0.658,0.342
Mississippi State displayed a program and a coach on the rise with an overwhelming performance in the Gator Bowl.,"After Big Ten Is Bullied, Questions at Michigan",201101,0,0,1,0
"Corrections appearing in print on January 2, 2011.",Corrections,201101,0,0,1,0
"Among the highlights: Hou Yifan began the youngest world champion ever, and Ray Robson was the youngest American to earn the rank of grandmaster.","Big Wins, Celebrity and a Champion’s Exhumation",201101,0.5994,0,0.855,0.145
"Eric Fehr was the unlikely star of the N.H.L.’s Winter Classic, and everybody kept talking about the weather.",Rain and Soft Ice Can’t Dampen Capitals’ Delight,201101,0,0,1,0
"In his third season at Arkansas, Bobby Petrino has led the Razorbacks to a 10-2 record and their first B.C.S. bowl.","After Flop in N.F.L., Contented Petrino Lands on His Feet in Arkansas",201101,0,0,1,0
"With its win over No. 4 Wisconsin in the Rose Bowl in Pasadena, Calif., No. 3 T.C.U. solidified its standing as one of the elite programs in all of college football.",Rose Bowl Victory Shows Texas Christian’s Prowess,201101,0.1027,0.129,0.76,0.111
No. 5 Syracuse went on a 17-3 run in the second half to defeat No. 15 Notre Dame at the Carrier Dome.,Turnovers Help Syracuse Top Notre Dame,201101,-0.7506,0.303,0.697,0
"At an open house at the Executive Mansion, the real draw was not transparency, but the new governor’s girlfriend.","Nice to Meet You, Governor. And Sandra Lee! Wow!",201101,0,0,1,0
"Justine Henin and Lleyton Hewitt made winning comebacks from injury as Australia beat Belgium, 2-1, in the Hopman Cup in Perth, Australia.",Australia Beats Belgium,201101,0.1531,0.107,0.763,0.13
"Ramon Dominguez finished 2010 as New York’s leading jockey, with nearly twice as many victories as the runner-up, David Cohen.",Jockey Leads in Wins and in Earnings,201101,0,0,1,0
Top-ranked Rafael Nadal defended his title at the World Tennis Championships exhibition tournament with a victory on Saturday over Roger Federer in Abu Dhabi.,Nadal Defeats Federer in Abu Dhabi Exhibition,201101,0.4939,0,0.873,0.127
"Dominique Corder, a standout quarterback at Central Lakes Community College in Brainerd, Minn., was shot and killed in his hometown, Indianapolis.",Star Quarterback Killed,201101,-0.6705,0.191,0.809,0
"Third-ranked Kim Clijsters beat top-ranked Caroline Wozniacki, 6-3, 4-6, 12-10, in an exhibition warm-up for the Australian Open.",Clijsters Tops Wozniacki,201101,0,0,1,0
The Dakar Rally roared out of Buenos Aires with a ceremonial parade of hundreds of vehicles.,Dakar Rally Opens in South America,201101,0,0,1,0
Urban Meyer ended his successful tenure at Florida by beating Penn State and its longtime coach Joe Paterno.,"Intense to the End, Meyer Walks Away a Winner",201101,0.2023,0.132,0.702,0.167
Rafael Palmeiro’s insistence that he never used steroids after his positive test could be the major roadblock to his entry into the Baseball Hall of Fame.,Rafael Palmeiro May Find Door Closed to Hall of Fame,201101,0.7579,0,0.787,0.213
Florida State’s E. J. Manuel stopped a South Carolina rally and lead Florida State to a 26-17 victory over the turnover-plagued Gamecocks on Friday night in the Chick-fil-A Bowl in Atlanta.,Sophomore Leads Florida State to Victory,201101,-0.2263,0.064,0.936,0
"Samson Szakacsy, one of 14 Tillman Scholars at Arizona State, impresses his teammates with a philosophical bent.",Philosopher Quarterback Emerges in the Desert,201101,0.4767,0,0.829,0.171
Tottenham Hotspur wants to sign David Beckham on loan from the Los Angeles Galaxy until the M.L.S. season starts in March.,Beckham May Pursue Winter Loan to Spurs,201101,0,0,1,0
The full speech delivered by Gov. Andrew M. Cuomo at his inauguration on Saturday.,Full Text of Cuomo’s Inauguration Speech,201101,0,0,1,0
The eruption in passing touchdowns may signal a sea change in strategy rather than a one-year statistical spike.,N.F.L. Is on Pace for a Season Record for Touchdown Passes,201101,0,0,1,0
"Athletes like Maria Sharapova owe a debt to the pioneers who paved the way for lucrative endorsement deals, but who was the first?",Searching for Sports’ First Female Pitchman,201101,0.1655,0.072,0.787,0.141
Giants defensive end Justin Tuck was expected to play in Sunday’s game against Washington.,Tuck and Wife Escape Injury in Car Accident,201101,0.3612,0,0.774,0.226
"When he arrived at Connecticut, Geno Auriemma started by raising expectations at what had been a mediocre program.",Auriemma Brash From the Beginning,201101,0,0,1,0
Practicing with an oversized basketball helped Syracuse’s Kris Joseph go from a struggling 3-point shooter to a threat from long range.,3-Pointer No Longer a Liability for Joseph,201101,-0.7351,0.267,0.733,0
Mr. Weiss was a principal in the investigation that led to the discovery of Hitler’s last will and political testament.,Arnold Weiss Dies at 86; Helped to Find Hitler’s Will,201101,0,0,1,0
"The Giants’ misfortunes this season have been enough to get a head coach fired, but the team is unlikely to act rashly on Sunday.","If Giants Can’t Hang On, Don’t Expect a Fall Guy",201101,-0.3182,0.095,0.905,0
A reader’s response to “How Superstars’ Pay Stifles Everyone Else” (Dec. 26).,Letters: The Superstar Effect,201101,-0.1027,0.123,0.877,0
"A reader’s response to “Stimulus, Without More Debt,” the Economic View column of Dec. 26","Letters: Stimulus, at What Price?",201101,0,0,1,0
"Darrelle Revis’s season began with a holdout and a painful injury, but it is ending where he expected with a trip to the postseason.","From Turmoil, Revis Learns to Take Care of Business",201101,-0.431,0.168,0.832,0
"Experts say there can be a fine line between aiding and offending an unemployed person. First, go easy on the pity.",Offering Help (Carefully) to Jobless Friends,201101,-0.2023,0.21,0.611,0.179
The Lakers have a comfortable lead in their division but risk being overtaken by rising powers in the Western Conference.,"In Jackson’s Farewell Tour, Lakers Show Need for Tuneup",201101,-0.128,0.122,0.78,0.099
Cheryl Batchelder of Popeyes Louisiana Kitchen was a piano major before she found her career home in the business world.,Music and Fried Chicken,201101,0,0,1,0
"As the University of Texas has enrolled more minority students, pressure has emerged to make sure the college culture adjusts and to ensure they graduate on time.",Universities Are Challenged as Demographics Shift,201101,0.3477,0.079,0.765,0.156
"Ken Wilkinson, the chef of Cocoamoda, is credited with helping to turn Calvert’s Main Street into a vibrant community for artists, which draws tourists from across Texas.","A Small Town Is Transformed, Led by Chocolate",201101,0.7964,0,0.74,0.26
"The Texas Legislature is coming into session in January, with a huge budget deficit and redistricting atop the priority list.",Legislature Is Coming: A Primer on the Session,201101,-0.1027,0.123,0.773,0.105
Texas child-welfare advocates say it is common for children bouncing from placement to placement to lose their mementos after they had have to leave them with caseworkers at Texas Child Protective Services.,Treasures of Youth Vanish in Custody of a State Agency Intended to Protect Them,201101,-0.4404,0.115,0.885,0
"Unlike ordinary homeowners, developers who suffer costly losses tend to be forgiven by lenders and investors.",Real Estate Developers Prosper Despite Defaults,201101,-0.6124,0.342,0.541,0.117
Readers respond to a recent article.,Reflecting on a School Chancellor’s Legacy,201101,0,0,1,0
Readers respond to a recent column.,New Year’s Resolution: Cutting the Military Budget,201101,0,0,1,0
A sometime adviser to Republicans offers a few guidelines to understanding their approach to economic policy.,How to Break Bread With the Republicans,201101,0,0,1,0
Readers respond to a recent article.,Do Teacher Ratings Pass the Test?,201101,0,0,1,0
A reasonable New Year’s wish for the United States Senate.,Resolved: Fix the Filibuster,201101,0.6705,0,0.56,0.44
"Retirees from the Livermore Lab have taken the University of California to court, saying it unfairly cast them out of its retiree health-care system.",Livermore Retirees Sue University Over Health Care Benefits,201101,0,0,1,0
"Sepp Blatter, FIFA’s president, said he wanted to set up an anticorruption committee after the allegations that two members of FIFA’s 24-member executive committee had offered to sell their votes.",FIFA President Seeking Anticorruption Panel,201101,0,0,1,0
Baltimore Orioles reliever Alfredo Simon is the main suspect in a fatal New Year’s Eve shooting in the Dominican Republic/,"Orioles Reliever Is Suspect in Shooting, Police Say",201101,-0.4939,0.236,0.661,0.103
Mark Visentin made 21 saves as Canada reached the semifinals of the world junior championships.,Canada Gains Semifinals,201101,0.5574,0,0.739,0.261
Ivica Kostelic of Croatia and Maria Pietilae-Holmner of Sweden won the first parallel slaloms in the World Cup.,Croat and Swede Win in Parallel Slalom Event,201101,0.5719,0,0.821,0.179
The American goalkeeper Brad Friedel made outstanding saves Sunday to help Aston Villa to a 3-3 tie at Chelsea.,Friedel and Aston Villa Earn Tie at Chelsea,201101,0.7717,0,0.705,0.295
"Economic reports, corporate earnings and hearings this week in Washington.",Looking Ahead to Economic Reports This Week,201101,0,0,1,0
A study in the Journal of Consumer Research looks into the murky crossroads of risk and societal status.,Feeling Powerful and Taking Risks,201101,-0.2732,0.116,0.884,0
The following tax-exempt fixed-income issues are scheduled for pricing this week.,Treasury Auctions for This Week,201101,0,0,1,0
"Transportation has become one of the fastest growing costs of city life, and in 2010, no mode in New York City seemed immune.","By Car, Train or Buggy, Trips to the A.T.M. Will Rise",201101,0.1779,0.084,0.766,0.149
"In prolonging Martin Winterkorn’s tenure through 2016, Volkswagen sought continuity at the top.",Volkswagen Extends Chief’s Pact,201101,0.2023,0,0.87,0.13
"John Mara, the Giants’ co-owner, declined to say whether any changes would be made to Tom Coughlin’s coaching staff.","Amid the Disappointment, Coughlin Is Assured of Another Season as Coach",201101,0,0,1,0
"Patricia Valadez, who has chronic depression, had to rebuild after throwing away all her infested furniture, clothing and most other belongings.","The Bedbugs Are Gone, but So Is All She Owned",201101,-0.5719,0.156,0.844,0
"This year, nearly every new first-class stamp will bear the word “Forever” in place of a price and will remain valid regardless of any rate increases.","Buy These Stamps, and Forget About Rate Increases",201101,0,0,1,0
"There were no reports of death or damage in the earthquake, which had a magnitude of 7.1.",Earthquake Rattles Southern Chile,201101,-0.8519,0.417,0.583,0
Letter to the editor regarding vision loss and blindness.,Living With Vision Loss,201101,-0.0772,0.204,0.619,0.177
"When they meet this month, Obama and Hu must find a way to get beyond the boilerplate.",How to Stay Friends With China,201101,0,0,1,0
Letters to the editor regarding tensions between New York medical schools and those in the Caribbean.,Where Do Doctors Learn Best?,201101,-0.4019,0.153,0.847,0
"Corrections appearing in print on January 3, 2011.",Corrections,201101,0,0,1,0
"Half the Sanitation Department’s trucks will still be removing snow on Monday, when residential trash pickups are to resume after 10 days.",Garbage to Compete With Snow as City Trucks Divide Duty,201101,0,0,1,0
The web of support for ex-soldiers needs to be wider and stronger.,"For Many Returning Veterans, Home Is Where the Trouble Is",201101,0.6486,0,0.654,0.346
A relentlessly hunted species  sharks  may finally be catching a break.,Endangered Predator,201101,0,0,1,0
"For all their 21st-century savvy, some high-tech companies are using employment tactics that can seem better suited to the feudal era.",What Century Are We In?,201101,0.2732,0.076,0.802,0.122
Letter to the editor regarding the lame-duck Congress’s achievements.,Presidential Courage?,201101,0,0,1,0
"Feature documentaries had combined ticket sales of about $45 million in 2010, roughly matching sales for “Saw 3D,” a modest horror hit.","A Strong Crop of Documentaries, but Barely Seen",201101,-0.5719,0.156,0.844,0
"The Department of Defense has identified 1,431 American service members who have died as a part of the Afghan war and related operations.",Names of the Dead,201101,-0.7906,0.268,0.679,0.054
"Restaurants must use a system to divide gratuities among servers, sommeliers, bussers and hosts.",New Rules Impose Systems for Sharing of Tips,201101,0,0,1,0
Reform laws governing material support for rogue organizations.,Chewing Gum for Terrorists,201101,0.4019,0,0.722,0.278
"There’s no doubting that seven-year deals for pitchers in their 30s are often bad bets. However, the choice of Kevin Brown to personify this is mystifying.","For Critics of Lee’s Contract, Brown Deal Is Not Supporting Evidence",201101,-0.7964,0.26,0.74,0
"An ode to the snow, jury duty with a dash of musical theater, a deal on text messaging and other reader stories.",Metropolitan Diary,201101,0,0,1,0
"While the preliminary overnight rating for the Rose Bowl was the highest for any show on cable except for N.FL. games since 2001, it fell from what it had been on ABC.","Bowl Ratings Down, but High for Cable",201101,0,0,1,0
Chevron’s lawyers are using outtakes from a documentary film to fight an environmental lawsuit in Ecuador.,Scenes Cut From Film Find New Role in Court,201101,-0.5423,0.257,0.743,0
"An unusual perspective on file-sharing, online privacy, pay walls, WikiLeaks and other issues of import to the media and digital worlds in 2011.",What’s Ahead for Media and Digital Businesses in 2011,201101,-0.1027,0.06,0.94,0
"As students return to campuses this week after a series of violent protests against proposals to raise tuition fees, the dispute seems far from over.",Roots of British Student Unrest Unresolved,201101,-0.8176,0.288,0.712,0
India’s government is preparing to conduct its first comprehensive survey on higher education.,India Will Survey Colleges and Universities,201101,0.25,0,0.857,0.143
Russia is investigating the cause of a passenger jet fire and explosion that killed three people.,Jet Fire Prompts a Ban,201101,-0.7845,0.347,0.653,0
"After two dreadful losses and a heartbreaking Green Bay victory kept the Giants from the playoffs, the organization reiterated its loyalty to Coach Tom Coughlin.","Giants, Despite Falling, Stand for Right Things",201101,-0.6249,0.268,0.623,0.109
Mr. Szeto was a Hong Kong union leader and critic of British colonial rule who became an implacable critic of the Chinese Communist Party after the Tiananmen Square killings in 1989.,"Szeto Wah, Political Activist in Hong Kong, Dies at 79",201101,-0.7184,0.233,0.695,0.072
"The Green School is built with natural materials, has no air conditioning and includes vegetable gardens on site to instill the importance of sustainable living in its students.",Bali School Makes Sustainability a Way of Life,201101,0.4215,0.068,0.776,0.155
Tomas Vokoun held off the Rangers in Florida for his fifth shutout of the season.,Panthers’ Vokoun Shines as Rangers Lose Again,201101,0,0,1,0
"A woman drowned after trying to cross a flooded causeway in Australia, becoming the first victim of relentless flooding that one official has described as reaching “biblical proportions.”",Floods Kill Woman in Australia,201101,-0.6124,0.194,0.71,0.097
"Americans watched more television than ever in 2010, according to the Nielsen Company, and the generation-long shift to cable from broadcast continued.",TV Viewing Continues to Edge Up,201101,0,0,1,0
"As China seizes the spotlight in East and Southeast Asia, it is also making its presence felt on its western flank, once primarily Russia’s domain.",China Quietly Extends Footprints Into Central Asia,201101,0,0,1,0
"The Terrapins selected the steady but unspectacular UConn coach Randy Edsall over Mike Leach, who had a reputation for offensive innovation at Texas Tech.",Maryland Picks Edsall to Rebuild,201101,-0.1531,0.141,0.739,0.12
"Several factors indicate that the advertising industry will enjoy a robust rebound in 2011, especially in marketing online.","After Two Slow Years, an Industry Rebound Begins",201101,0.6808,0,0.728,0.272
"Realistic or not, anything less than a Super Bowl berth will rate this Jets season as a failure.",Jets’ Ryan Regains Bluster and Reaches Crossroads,201101,0.0828,0.158,0.669,0.173
"The Colts, who in early December were on the brink of being eliminated from the playoffs, earned their seventh A.F.C. South title in eight years after beating Tennessee.",Colts Avoid the Unthinkable and Make the Playoffs,201101,-0.4588,0.1,0.9,0
"Some see a $5.5 billion rail project as a threat to farms and small-town life, despite the bounty of jobs it promises.",Worries Follow Route of High-Speed California Line,201101,-0.2023,0.142,0.75,0.108
"If “The Social Network” wins, the movie about the Facebook co-founder Mark Zuckerberg will end some 23 years of Columbia going without top honors on Academy Awards night.",Columbia Pictures Hopes to End Oscar Drought,201101,0.5277,0.123,0.686,0.191
The Falcons (13-3) clinched home-field advantage in the N.F.C. playoffs with a 31-10 victory over the Panthers.,Falcons’ Big Win at Home Ensures Chance for More,201101,0.25,0,0.882,0.118
"A 24-year-old Ph.D. student, Nicholas M. Fahrenkopf, fooled perhaps hundreds of Twitter users when he took on the persona of Gov. Andrew M. Cuomo using an account similar to the governor’s.",Cuomo’s Twitter Feed? Something’s a Little Off,201101,-0.3818,0.082,0.918,0
A professor of economics and finance responds to the On the Road column about the difficulty airlines had getting back onto schedule.,"First Flight Out, for a Fee: A Blizzard Postscript",201101,-0.34,0.107,0.893,0
"The lawsuit cites unwanted advances made by Favre and a team atmosphere that was “a hot bed of sexual harassment, sexism and inappropriate behavior.”",Favre and Jets Sued by Two Massage Therapists,201101,-0.743,0.267,0.733,0
The president and chief executive of TIAA-CREF responds to an article about the struggle to pay for pensions.,Ways for Local Governments to Protect Pension Plans,201101,-0.4019,0.188,0.812,0
Lanny J. Davis responds to an article about his client list.,A Lobbyist’s African Clients,201101,0,0,1,0
"Correction appearing in print on January 4, 2010.",Corrections,201101,0,0,1,0
"A response to an Op-Chart about the past year in Iraq, Pakistan and Afghanistan.",The U.S. Role in Yemen,201101,0,0,1,0
"The satellite radio provider Sirius XM Radio Inc. announced an exclusive, multiyear United States deal with Manchester United.",Sirius XM to Broadcast Manchester United Games,201101,0.7269,0,0.679,0.321
Paul Pierce scored 23 points to help the Boston overcome a double-digit deficit — and another double-digit rebounding performance by Minnesota’s Kevin Love.,Love’s Big Game Can’t Top Celtics,201101,0.6369,0.094,0.664,0.241
"President Obama is said to have approached William M. Daley, the brother of Chicago’s mayor and a former commerce secretary, about becoming his chief of staff.",President May Realign Senior Staff,201101,0,0,1,0
"As the Giants stuffed their gear and frustration from an unfulfilled 10-6 season into garbage bags for a long winter, the franchise looked to a future appearing both stable and uncertain.","Giants Depart, and Leave Free-Agency Issues",201101,-0.7096,0.229,0.708,0.062
"Dave Wannstedt, ousted as Pittsburgh’s coach last month, has decided not to coach the Panthers in the Compass Bowl against Kentucky on Saturday.",Wannstedt Won’t Coach Pitt in Bowl Game,201101,0,0,1,0
Baltimore Orioles reliever Alfredo Simon surrendered to the police in the Dominican Republic to face an involuntary-manslaughter charge in a fatal shooting New Year’s Eve.,Orioles Reliever Surrenders to Police,201101,-0.25,0.125,0.786,0.089
The American goalkeeper Brad Guzan celebrated the first victory of his loan stint at Hull in a 3-2 win over Portsmouth.,American Goalie Wins in England,201101,0.8176,0,0.706,0.294
The Connecticut women’s N.C.A.A.-record 90-game winning streak ended Thursday night with a loss to Stanford.,UConn Women’s Run at No. 1 Is Over,201101,0.2732,0.13,0.678,0.192
"ESPN removed Ron Franklin from the radio broadcast of last Saturday’s Fiesta Bowl for remarks he made to Jeannine Edwards, a sideline reporter, during a production meeting.",ESPN Disciplines Football Announcer,201101,0.4767,0,0.886,0.114
Ralph Nader responds to an editorial about the Tea Party’s rising political power.,How the Left Is Left Out: Ralph Nader’s View,201101,0,0,1,0
"Monday’s win over No. 13 Georgetown was a bit of an unveiling for St. John’s, a proud program that has been stuck in mediocrity or worse for much of the last decade.",St. John’s Finds New Locker Room and New Excitement at Garden,201101,0.0772,0.218,0.608,0.175
"Officers Dawn Ortiz and India Archie were cleared of Police Department violations in the killing of Gilberto Blanco, but their decision-making will be reviewed in a departmental trial.",2 Officers Face Sanctions on Tactics in a 2008 Shooting,201101,-0.5719,0.163,0.797,0.04
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201101,0,0,1,0
"Memorable films included “Distant Voices, Still Lives” and “In the Name of the Father.”","Pete Postlethwaite, an Actor With Broad Range, Dies at 64",201101,0,0,1,0
Ms. Francis was best known for her roles in the 1950s science-fiction film “Forbidden Planet” and the 1960s television series “Honey West.”,"Anne Francis, TV and Film Actress, Dies at 80",201101,0.6369,0,0.833,0.167
"A Haitian woman, struggling in New York, is working to help bring to America her husband and other relatives left behind in her native land.",Adding Furniture to a Home That’s Still Not Quite Full,201101,-0.0258,0.102,0.8,0.098
The centennial of his death was treated with ambivalence as intellectuals and the church debated his legacy.,"For Tolstoy and Russia, Still No Happy Ending",201101,-0.3182,0.181,0.698,0.121
