snippet,headline__main,year_mo,compound,negative,neutral,positive
"In rejecting the president’s opponent, the country was poised to continue the same euroskeptic shift as Hungary, Poland and Slovakia.","Czech Republic Re-elects Milos Zeman, Populist Leader and Foe of Migrants",201801,-0.25,0.13,0.783,0.087
"Islamic militants stormed the camp in the Timbuktu region, but the military struck back and killed many extremists, an army spokesman said.",Ambush on Mali Army Camp Leaves 14 Soldiers and 17 Attackers Dead,201801,-0.8674,0.304,0.696,0
Republicans warn of a dark plot to overthrow the Trump government and Democrats talk of a creeping authoritarianism unchecked by Congress. A near-permanent state of gridlock threatens to diminish American democracy itself.,"As Gridlock Deepens in Congress, Only Gloom Is Bipartisan",201801,-0.4588,0.129,0.871,0
Larry Nassar’s victims in their own words. Grammy gems you won’t hear on music’s biggest night. And what’s it like to live through an Arctic winter?,11 of Our Best Weekend Reads,201801,0.0516,0.08,0.833,0.087
"Tara Hartson, a surveyor in Ellsworth, Me., battles bugs in the spring and freezing winds in the winter to make sure properties are correctly defined.","Between Mosquito Bites, Getting the Lay of the Land",201801,-0.1779,0.147,0.769,0.084
"Saudi Arabia’s most prominent investor, he had been detained in the Ritz-Carlton in the capital after a mass crackdown on corruption.","Billionaire Saudi Prince, Alwaleed bin Talal, Is Freed From Detention",201801,-0.0276,0.116,0.773,0.111
"Wozniacki, 27, defeated Simona Halep at the Australian Open in three sets to win her first Grand Slam title after faltering in two previous finals.",43rd Time’s the Charm: Caroline Wozniacki Wins Her First Major Title,201801,0.2732,0.17,0.627,0.203
"Rande Gerber is married to Cindy Crawford, father to the teenage supermodels Kaia and Presley Gerber, and is a tequila baron (with his pal George Clooney).","Kaia Gerber’s Dad Was a Model, Too",201801,0,0,1,0
"The entrepreneur-turned-philanthropist and the best-selling author discuss their surprising bond, the challenge to improve the human condition and the quest to create the perfect toilet.",The Mind Meld of Bill Gates and Steven Pinker,201801,0.8779,0,0.623,0.377
"In today’s episode, “Updates Part 1: Change Is a Work in Progress,” we catch up with some of our most memorable letter writers.",Listen to ‘Dear Sugars’: Updates From ‘Struggling’ and ‘Bad Mom’,201801,0,0,1,0
"Even as it carries out atrocities against Rohingya Muslims, the military has kept up campaigns of violence and resource-grabbing against other minority groups.","For Myanmar’s Army, Ethnic Bloodletting Is Key to Power and Riches",201801,-0.6249,0.157,0.843,0
"The American Century Championship has never been your usual, tame golf tournament. Reports about President Trump’s visit in 2006 have brightened the spotlight.","In Tahoe, a Wild Intersection of Golf and Celebrities",201801,0.7184,0,0.778,0.222
"The Hewing Hotel has the spirit of the state, from the loons in the wallpaper to the cedar sauna on the roof.",A Minneapolis Hotel With Northwoods Style (and Flavor),201801,0.1779,0,0.925,0.075
"Growing economies have led to surging obesity rates in sub-Saharan Africa, causing a health crisis that has caught the continent by surprise. One solution? “Eat like grandmum did,” says a doctor.","In Kenya, and Across Africa, an Unexpected Epidemic: Obesity",201801,0.3612,0.112,0.654,0.234
"From Oscar-winning actress to Emmy-winning producer: After taking charge of her career, she makes deals with HBO and Apple.",Reese Witherspoon’s Second Act: Big-Time Producer,201801,0,0,1,0
"For the first time since the global economic downturn, there is a wave of expansion that is creating jobs, lifting fortunes and tempering fears of popular discontent.",Every One of the World’s Big Economies Is Now Growing,201801,0.296,0.091,0.747,0.162
At least 95 were killed and 158 others were wounded when a car bomber drove an ambulance past two checkpoints and detonated explosives.,‘It’s a Massacre’: Blast in Kabul Deepens Toll of a Long War,201801,-0.6705,0.176,0.824,0
"Agnes Chow, 21, whose party says Hong Kong should decide its future in a referendum, said the ruling showed “that our political rights are handicapped.”",Hong Kong Bars Democracy Advocate From Running for Legislature,201801,0.4019,0,0.895,0.105
"Roger Federer and Marin Cilic will play in the Australian Open final on Sunday, just a few months after they practiced together while in the Maldives.","Federer and Cilic Meet Again, but This Time Drinks Will Have to Wait",201801,0.34,0,0.909,0.091
A new Netflix comedy focuses on dancing sororities. And an HBO documentary tells a touching story on Holocaust Remembrance Day.,What’s on TV Saturday: ‘Step Sisters’ and ‘The Number on Great-Grandpa’s Arm’,201801,0.3612,0,0.872,0.128
Why is the nation’s public health agency ignoring patient needs?,Protecting Conscientious Providers of Health Care,201801,-0.4019,0.231,0.769,0
"This awards season, the conversation in Hollywood has been about #MeToo and #TimesUp. But the music business has been relatively quiet.",Will the Music Industry Say #MeToo?,201801,0.4588,0,0.87,0.13
"McKnight, 28, was fatally shot in a confrontation with another driver in 2016. The verdict carries a sentence of up to 40 years.","In the Death of Ex-Jet Joe McKnight, Jury Returns a Manslaughter Verdict",201801,-0.6808,0.246,0.644,0.11
"Corrections appearing in print on Saturday, January 27, 2018.","Corrections: January 27, 2018",201801,0,0,1,0
The N.H.L.’s decision to pack up its pucks and go home has left an opportunity for underdog stories.,A Minor Miracle on Ice at the Olympic Games?,201801,0.4215,0,0.859,0.141
"During the Vietnam War, Beijing welcomed Vietnamese students as a way to to compete with Moscow for leadership of global communism.",How China Used Schools to Win Over Hanoi,201801,-0.3612,0.16,0.741,0.099
Mark Diehl twists our brains.,Call of the Wild,201801,0,0,1,0
A virulent nationalism is reviving nostalgia for the Nazi era. Will the rest of the world stay silent?,How the Holocaust Haunts Eastern Europe,201801,-0.5719,0.188,0.812,0
Republicans prove that even paranoids have friends.,The G.O.P.’s Bonfire of the Sanities,201801,0.128,0.243,0.467,0.29
"Quotation of the Day for Saturday, January 27, 2018.",Quotation of the Day: Risks for Cities in Sweetening Amazon’s Pot,201801,0,0,1,0
Consider the saga of the faith guru gone rogue.,Once Again: How Hillary Holds Up,201801,0.4215,0,0.741,0.259
The past year has been a disaster for refugees and for those of us who are concerned with their well-being.,Will America Stand Again With the World’s Refugees?,201801,-0.6249,0.186,0.814,0
"Trump is a symptom, not a cause. That is why he will be hard to dislodge.",Open Societies Under Siege,201801,-0.1027,0.097,0.903,0
"As a series of firings and resignations roiled the first year of the Trump administration, Donald F. McGahn II maintained a low profile, but he has recently been thrust squarely into the public eye.",Counsel Quietly Trying to Corral Trump While Pushing G.O.P.’s Agenda,201801,-0.2846,0.095,0.905,0
"A report outlining years of sexual misconduct by Mr. Wynn sent shares in his company, Wynn Resorts, plummeting and raised questions about his future in Republican politics.","Stephen Wynn, Casino Mogul, Accused of Decades of Sexual Misconduct",201801,0.296,0,0.919,0.081
"The organization said Friday that it would comply with the demands of the United States Olympic Committee, which called for the entire board to step down.",Remaining Members of U.S.A. Gymnastics Board to Resign After Nassar Scandal,201801,0.4215,0,0.899,0.101
"They’ve written a classified report to make bogus claims, but their true aim is to divert attention from Mr. Trump and the Russia investigation.",The Republicans’ Real Fake Scandal,201801,0.5719,0,0.856,0.144
A trade agency’s rejection of a push for duties on Bombardier’s CSeries jet puts the focus back on a tricky merger with a Brazilian competitor.,Bombardier’s Win Adds Pressure on Boeing to Strike Embraer Deal,201801,-0.6249,0.212,0.788,0
Wealthy Russians are on an aggressive lobbying push in fear that they will be penalized by a Washington intent on punishing Moscow’s aggressions.,Coming U.S. List of Oligarchs Linked to Putin Alarms Russia’s Rich,201801,-0.8176,0.393,0.525,0.082
The $2 billion wiped off the company’s shares is a reminder to directors on all company boards that misbehavior has become a financial risk.,Wynn Resorts’ Slide Shows Sexual Misconduct Is a Financial Risk,201801,0.0258,0.086,0.823,0.091
A case in federal court was set to go to trial next month but a settlement reached on Friday makes the civil rights anthem freely available.,‘We Shall Overcome’ Is Put in Public Domain in a Copyright Settlement,201801,0.6652,0,0.801,0.199
A state-run company in Vietnam is seeking support from the Export-Import Bank for a project that could benefit American business but is criticized by environmentalists.,The U.S. May Back a Vietnam Coal Plant. Russia Is Already Helping.,201801,-0.1027,0.12,0.738,0.142
This week’s Canada letter looks at the decline in manufacturing and some remarkably clear images from the 19th century gold rushes.,Free Trade Disillusionment and the First Hipsters: The Canada Letter,201801,0.4391,0,0.874,0.126
Woods had a tap-in birdie on the par-5 ninth hole at the Farmers Insurance Open and made a PGA Tour cut for the first time since 2015.,Tiger Woods Birdies Final Hole to Narrowly Make Cut,201801,-0.2732,0.08,0.92,0
"Toronto authorities have ruled out murder-suicide, but they have no suspects yet in the mysterious killings.","Deaths of Billionaire Toronto Couple Were Homicides, Police Say",201801,-0.9209,0.483,0.517,0
"The Times Magazine writer who penned a cover story on “RuPaul’s Drag Race” tells how she came to know and love the show, and Ru himself.",It’s RuPaul’s Moment (Can I Get an Amen?),201801,0.5106,0.065,0.79,0.144
The Australian Open has grown to be the largest annual sporting event in the Southern Hemisphere and is considered the Grand Slam of the Asia Pacific.,"By Looking to Asia, the Australian Open Found Itself",201801,0.1027,0.088,0.811,0.101
MBC’s owner resisted a purchase offer from Saudi Arabia’s crown prince. He was among those seized in what the Saudis called a corruption crackdown.,"Saudi Arabia Frees Media Mogul, but His Company’s Fate Remains a Mystery",201801,0,0,1,0
Admissions by the donors that they used campaign contributions to get special treatment raises the question: When is a bribe not a bribe?,"2 Donors Plead Guilty, but the Mayor Is Not Charged. Why?",201801,0.0258,0.148,0.741,0.111
"At 42, Castroneves, one of IndyCar’s most popular drivers, will race full time on the SportsCar circuit this year.",Helio Castroneves Steps Away From IndyCar and Into a New Role,201801,0.4754,0,0.853,0.147
"Gov. Cuomo, along with the governors of Connecticut and New Jersey, announced plans to jointly sue the U.S. over the tax law — a change for a governor who usually operates alone.","Cuomo, Typically a Lone Wolf, Shifts Toward Coalition Building",201801,-0.25,0.065,0.935,0
"Mr. McDonough’s 10 years as the Federal Reserve Bank of New York’s president included guiding it through the Sept. 11, 2001, terrorist attacks and limiting the damage of a major hedge fund’s failure.","William McDonough, Who Guided New York Fed Through Crises, Dies at 83",201801,-0.9337,0.335,0.665,0
"A masterly Rust Belt orchestra, Mahler and a whispered opera were among the highlights. ",Cleveland Conquers: The 8 Best Classical Music Moments of the Week on YouTube,201801,0,0,1,0
"Hedi Slimane at Céline, Alaïa after Alaïa — and more.",Open Thread: This Week in Style News,201801,0,0,1,0
The New York City subway has the worst on-time performance of any major rapid transit system in the world. This is the story of how it ended up in a state of emergency.,Your Train Is Delayed. Why?,201801,-0.7717,0.183,0.817,0
Our president isn’t a leader but a cheerleader. For the past.,"Trump Leads the World, Backward",201801,0.3291,0,0.773,0.227
Here’s what you need to know at the end of the day.,"Davos, Mueller, Syria: Your Friday Evening Briefing",201801,0,0,1,0
"What’s life like at 7 feet 7 inches? Robert Bobroczkyi, a 17-year-old basketball prospect, gives us a view of his world.",A Teenager’s Basketball Dream Is Size XXXXXL,201801,0.5719,0,0.761,0.239
"Many economists see deals offering tax breaks to attract corporate sites as inefficient, expensive and ultimately ineffective.",Promising Billions to Amazon: Is It a Good Deal for Cities?,201801,0.25,0.079,0.789,0.132
"Even after 10 years of marriage and with a third child on the way, Matthew Azimi couldn’t avoid returning to his long-running drug habit.",An Addict Dies in a School Restroom. He Was a Teacher.,201801,-0.296,0.091,0.909,0
Placing women in positions of leadership does not ensure they will always act to protect other women.,Why Did Hillary Clinton Let This Happen?,201801,0.1068,0.11,0.758,0.131
President Trump gave an uncharacteristically restrained speech in Davos on Friday. But the world’s political and business leaders remain wary of him.,When the Stranger Who Calls Is the American President,201801,0,0,1,0
A roundup of things T editors — and a few contributors — are excited about in a given week. ,Seven Things T Editors Like Right Now,201801,0.34,0,0.854,0.146
"The WikiLeaks founder suffers from depression, his lawyer said, and fears that if he leaves the Ecuador Embassy in London, he might be extradited.",Julian Assange Asks U.K. Court to Drop His Arrest Warrant,201801,-0.8625,0.314,0.686,0
"With insurgents threatening road travel, Kam Air has kept Afghanistan moving. But its future looks grim with foreign crew members dead or fleeing.","Grounded and Gutted, Main Afghan Airline Struggles After Taliban Attack",201801,-0.9081,0.363,0.637,0
"Small seeds can develop more quickly and spread more widely than large-seeded plant species, although bigger seeds can thrive in richer, wetter soils.",Seed Size Often Matters,201801,0.5267,0,0.866,0.134
Ms. VerPlanck brought a clear and disciplined voice to the American songbook. But millions knew that voice best from commercials.,"Marlene VerPlanck, Singer of Jazz and Jingles, Dies at 84",201801,0.7783,0,0.714,0.286
"Flamboyant hip-hop, promising punk rock, intricate bluegrass and more: a conversation about the artists we’re looking forward to following this year.",Hear What Music Will Sound Like in 2018,201801,0.5106,0,0.807,0.193
"Hedi Slimane's surprising appointment at Céline, paying homage to Alaïa — and a 2-year-old on the runway.",The Top 10 Moments From Couture Week,201801,0.2732,0,0.877,0.123
The agency said on Friday it was evaluating other animal studies and would retire the remaining monkeys to a sanctuary.,"Citing Deaths of Lab Monkeys, F.D.A. Ends an Addiction Study",201801,0,0,1,0
"The museum canceled the show, planned for May, and a photography exhibition by Thomas Roma, both because of sexual misconduct accusations.",The National Gallery of Art Cancels a Chuck Close Show After Misconduct Accusations,201801,-0.3182,0.108,0.892,0
"A brigade of military advisers is being heralded as a key part of President Trump’s strategy to turn the tide in Afghanistan, but its commander has raised internal concerns about the challenges it faces.","Training Quick and Staffing Unfinished, Army Units Brace for Surging Taliban",201801,0.1154,0,0.955,0.045
"April Kauffman, a radio host and doctor’s wife, was found dead in 2012. Her husband was accused of having her killed to stop her from exposing his drug “empire.”","Years After Woman’s Murder, Investigators Uncover Plot Fueled by ‘Money, Greed, Drugs’",201801,-0.936,0.399,0.601,0
"After a rocket attack, townspeople say Turkey’s president should have started his offensive sooner against Kurdish militants.","On Turkey’s Border With Syria, Many Are Eager for War",201801,-0.7269,0.303,0.697,0
"It inspired protests and threats of violence in India, but “Padmaavat” is something of a bore: a 3-D epic with the depth of a children’s pop-up book.",Review: ‘Padmaavat’ and All That Useless Beauty,201801,-0.6486,0.285,0.644,0.071
A preview of the film.,Trailer: 'Padmaavat',201801,0,0,1,0
Four actors are currently being sought for the remake of the movie.,Steven Spielberg and Tony Kushner’s ‘West Side Story’ Is Casting,201801,0,0,1,0
"The incoming class in 2017 had 1,070 women and 1,025 men, a bit of catching up in a country lately more worried about lagging male attendance.","Women Outnumber Men in Oxford’s Newest Class. It Only Took 1,000 Years.",201801,-0.5936,0.181,0.819,0
"An American, Ms. Hawley spent decades grilling mountaineers and compiling records for climbing expeditions in Nepal.","Elizabeth Hawley, Who Chronicled Everest Treks, Dies at 94",201801,0,0,1,0
One reader writes that bringing them back would relaunch a pay-to-play system. Another says it might promote bipartisanship.,Bring Back Earmarks? Two Opposing Views,201801,0.3818,0,0.86,0.14
"For a man who insists he has done nothing wrong, President Trump sure acts as if he has something big to hide.",Why Does President Trump Fear the Truth?,201801,0.486,0.069,0.733,0.198
Reproductive justice advocates say they are working to ensure that poor women get the care they need.,Help for Pregnant Women,201801,0.7269,0.123,0.514,0.364
Recent growth doesn’t look very healthy.,The Spendthrift Economy,201801,0.6801,0,0.417,0.583
A reader views a new tariff on solar panels as a favor to the fossil fuel industry.,Sabotaging Solar Power,201801,0.4019,0,0.828,0.172
"The psychological effects of disclosing a traumatic secret — of telling your story — depend on the audience, the nature of the trauma and other factors.",More Than 150 Women Described Sexual Abuse by Lawrence Nassar. Will Their Testimony Help Them Heal?,201801,-0.7579,0.22,0.78,0
"The decision ends a trade case filed by Boeing, which said its Canadian rival Bombardier unfairly subsidized and dumped its planes in the United States.",Boeing Denied Bid for Tariffs on Canadian Jets,201801,0.0258,0.098,0.8,0.102
"As the special prosecutor gets closer, Congress needs to provide him real protection from the White House.",Trump Hasn’t Fired Mueller — Yet,201801,0.4019,0,0.856,0.144
Some of our favorite moments from the spring 2018 haute couture fashion shows.,Portfolio: Haute Couture,201801,0.4588,0,0.8,0.2
"Great reads around the web, from Carla Correa, Randy Archibold and others.",What We’re Reading,201801,0.6249,0,0.728,0.272
Jim Farago began working at Van Nest Lanes in the Bronx in 1964. He is now an owner but basically does the same job: Everything.,The Pin Chaser in Charge,201801,0,0,1,0
"Hear the music that caught our critics' attention this week, from Linkin Park rapper Mike Shinoda, MGMT, James Blake and more.","The Playlist: Drake Preps for a Return, and 12 More New Songs",201801,-0.296,0.099,0.901,0
"Benefits were held for Visual AIDS, the Stuttering Association for the Young, and the Louis Armstrong House Museum.","Postcards, Jazz and Bowling",201801,0.0772,0.11,0.766,0.124
"The awards show emphasizes its big names, but there are under-heralded musicians hidden in the nominees for its 84 categories. Here are 17 highlights.",The Grammy Gems You Won’t Hear on ‘Music’s Biggest Night’,201801,0.25,0,0.92,0.08
"After a racial slur makes the rounds on Instagram, history and prettiness clash with the speed of social media.","At Couture, Lofty Traditions Face the New Swiftness of Fury",201801,0,0,1,0
"With nearly 1,200 students signed up, a course that tells students how to lead more satisfying lives may be the largest in university history.",Yale’s Most Popular Class Ever: Happiness,201801,0.5095,0,0.87,0.13
Readers discuss a plan to give a path to citizenship to Dreamers.,Trump’s Proposed Deal on Immigration,201801,0,0,1,0
"A richly affecting, musically restrained and very timely mariachi work, “Cruzar la Cara de la Luna,” comes to the New York City Opera.",Review: A Mariachi Opera Addresses Roiling Issues of Immigration,201801,0.4404,0,0.879,0.121
President Trump used two days in Davos to assuage the worst fears about his presidency among the global elite while aggressively courting investment.,Trump Arrived in Davos as a Party Wrecker. He Leaves Praised as a Pragmatist.,201801,-0.8481,0.315,0.685,0
Weekly recaps of the VH1 reality competition.,RuPaul’s Drag Race,201801,0,0,1,0
"Researchers have compared the reactions of elephants in Africa and Asia to bee swarms, in efforts at protecting the endangered animals from angered farmers or poachers.",Elephants Are Very Scared of Bees. That Could Save Their Lives.,201801,-0.5106,0.117,0.883,0
Several members of the museum’s staff have sent a letter protesting Rebekah Mercer’s position on the board.,Curators at Museum of Natural History Object to a Trustee,201801,-0.4215,0.157,0.843,0
"We encourage kids to trust doctors, but we should teach them that they can say no to something that makes them uneasy.",How to Keep Children Safe From Abuse at the Doctor’s Office,201801,-0.4404,0.218,0.632,0.151
The style stars step it up for the haute couture fashion shows in Paris.,Street Style: Haute Couture,201801,0,0,1,0
Nothing could have prepared me for the pain of telling the truth.,Rachael Denhollander: The Price I Paid for Taking On Larry Nassar,201801,-0.0258,0.2,0.545,0.255
He says Food Policy Action’s lobbying efforts aren’t working; he’ll work instead to help elect “better” lawmakers.,The Chef Tom Colicchio Quits a Food Policy Group He Started,201801,0.34,0.068,0.789,0.142
Writers from across the political spectrum on the president’s aborted effort to dismiss the special counsel.,Right and Left React to Trump’s Attempted Firing of Robert Mueller,201801,0.4019,0,0.847,0.153
"More brewers are making beers inspired by the lambic style of Belgium, which uses microbes from the immediate surroundings to ferment each batch.",American Beers With a Pungent Whiff of Place,201801,0.4939,0,0.873,0.127
"Trained as an industrial designer and sculptor, Mr. Castle fashioned whimsical furnishings from wood and metal. But his favorite tool was a pencil.","Wendell Castle, 85, Dies; Blurred the Line Between Furniture and Art",201801,0.5106,0,0.823,0.177
Readers react to a report that the White House counsel refused to carry out the president’s order.,When Trump Tried to Fire Mueller,201801,-0.296,0.128,0.872,0
"The nearly 14,000 refugees in Indonesia, many from the Middle East and Africa, were recently told by the United Nations that it is unlikely they will ever be resettled elsewhere.",Refugees in Indonesia Hoped for Brief Stay. Many May Be Stuck for Life.,201801,0.4215,0,0.912,0.088
"Giulio Regeni was killed because of his academic interest in Egypt’s independent labor unions, Rome’s chief prosecutor said in an open letter.","Italian Student in Cairo Was Murdered Over His Research, Prosecutor Says",201801,-0.3612,0.164,0.727,0.109
Food Policy Action is holding a panel discussion featuring expert speakers on agency and regulatory issues across the food system.,State of the Plate Invitation,201801,0,0,1,0
"En route to Djibouti, the Ethiopians and Somalis died after a confrontation with traffickers in an overloaded boat.","Exploited and Extorted, 30 Africans Drown While Trying to Return Home From Yemen",201801,-0.7096,0.282,0.718,0
"All states except Hawaii report widespread flu, federal officials said Friday. Infection and hospitalization rates are likely to equal or surpass those in 2009.",This Flu Season Is the Worst in Nearly a Decade,201801,-0.3818,0.102,0.898,0
"With his days as a sherpa of the Andes growing short, Americo González Caldua laments the disappearance of magnificent ice sheets he once took for granted.","A Lifetime in Peru’s Glaciers, Slowly Melting Away",201801,0.6249,0.08,0.675,0.244
"David Frum talks about “Trumpocracy,” and Helen Thorpe discusses “The Newcomers.”",Twilight’s Last Gleaming?,201801,0,0,1,0
"After three years in the post, Laura Raicovich says she needs to leave to accomplish her goals.",Politically Outspoken Director of Queens Museum Steps Down,201801,0.3818,0.063,0.789,0.147
"Touring the world, singing Gainsbourg songs backed by a full orchestra, this singer, actress, model and muse is getting ready to play Carnegie Hall on Thursday.","Jane Birkin on Love, Life and Serge Gainsbourg’s Classical Roots",201801,0.6124,0,0.786,0.214
"The show is coming back, CBS announced this week, reminding some of a 1992 skirmish in the culture wars. We take a walk through The Times archives.",That Time ‘Murphy Brown’ and Dan Quayle Topped the Front Page,201801,-0.5574,0.13,0.87,0
"After Equifax’s security breach, consumers looked for ways to make the company pay. One option: Persuade employers not to give the company any data.","You Can’t Fire Equifax, but Your Employer Can. Mine Just Did.",201801,0.25,0.054,0.853,0.093
"After years of living with stage IV cancer, I have some suggestions.",What to Say When You Meet the Angel of Death at a Party,201801,-0.6597,0.306,0.694,0
The president was wrong about his place in history and mostly right in his assessment of a strong economy.,"In Davos Speech, Trump Mixes Facts With Fiction",201801,0.0516,0.138,0.714,0.147
"So-called animal spirits may have been unleashed, but at some point the trend is likely to reverse itself, with potentially serious effects.",Consumer Confidence Is Lifting the Economy. But for How Much Longer?,201801,-0.1154,0.065,0.935,0
"The marijuana industry still has its risks, including conflicts between state and federal law, but investors are drawn to its double-digit returns.","As States Legalize Marijuana, Investors See an Opportunity",201801,-0.3291,0.143,0.857,0
Our guide to new art shows — and some that will be closing soon.,Art and Museums in NYC This Week,201801,0,0,1,0
Our guide to dance performances.,Dance in NYC This Week,201801,0,0,1,0
Readers describe the thrills and challenges of wintertime in the Far North.,Snapshots From a Land of Endless Night,201801,0.4215,0,0.725,0.275
"The de facto star of the “The Real Housewives of Beverly Hills” dishes about her celebrity, her rosé label, her dogs and her political future.","Lisa Vanderpump of ‘Real Housewives’ Sips Her Tea. And Spills Some, Too.",201801,0,0,1,0
"When a French supermarket chain announced a promotion on the chocolate-and-hazelnut spread, Black Friday-like scenes ensued all over the country.",‘Nutella Riots’ in France Show Price of a Sweet Tooth,201801,0,0,1,0
"Our guide to stand-up, improv and variety shows.",Comedy in NYC This Week,201801,0,0,1,0
Our guide to film series and special screenings.,Film Series in NYC This Week,201801,0.4019,0,0.722,0.278
Elise Tamaela’s playing career ended after she was knocked unconscious by another player’s father. But she has returned to tennis as a coach.,A Tennis Coach Is a Reluctant Passenger on the Road,201801,0.2023,0,0.921,0.079
"C-sections can be lifesaving, but they increase the risk of subsequent miscarriages and other problems.",Cesarean Delivery Can Pose Long-Term Risks to Mother and Child,201801,-0.5023,0.293,0.567,0.139
Our guide to cultural events in New York City for families with children and teenagers.,Events for Children in NYC This Week,201801,0,0,1,0
"Previews, openings and some last-chance picks.",What’s New in NYC Theater,201801,0,0,1,0
"In Craig Cliff’s first novel, “The Mannequin Makers,” he tells a multigenerational story about an island shaped by its isolation.",A New Zealand Novel Full of Taciturn Men and Wooden Dolls,201801,-0.1027,0.123,0.773,0.105
Prices at galleries are often difficult to find out and can be prohibitively high. Websites and apps are trying to make it easier for newcomers to get informed.,Can Digital Technology Open Up the Art World?,201801,0.0772,0.08,0.831,0.089
"The British broadcaster said it was reducing the salaries, after its China editor decided to leave that position to protest unequal pay.","BBC, Criticized Over Pay Gap, Cuts Salaries of Some Male Journalists",201801,-0.6124,0.28,0.72,0
Another piece of damning evidence in an overwhelming case of obstruction.,Trump’s Efforts to Oust Mueller Show the ‘Cancer’ on This Presidency,201801,-0.34,0.194,0.806,0
"In “Here in Berlin,” the Cuban-American novelist Cristina García uses a chorus of voices to explore the long, ghostly reach of Germany’s history.","A Capital City, Still Haunted by Its Past",201801,0.0258,0,0.95,0.05
