snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
"BARTOS - Armand. The Trustees and staff of The New York Public Library deeply mourn the loss of our great and good friend, Armand Bartos. A brilliant architect and the beloved husband of Celeste Bartos, one of the Library's greatest benefactors, M...","Paid Notice: Deaths BARTOS, ARMAND",20060102,0.536867,0.9527,0.095,0.521,0.383
President Bush continued on Sunday to defend both the legality and the necessity of the National Security Agency's domestic eavesdropping program.,Bush Defends Spy Program and Denies Misleading Public,20060102,0.34,0.34,0,0.893,0.107
"U2 was the most popular concert tour in 2005, according to two ways of measuring data. Based on a combination of ticket sales, Internet page views and requests for information, U2 made it to the top of the above list, compiled by Ticketmaster. And...",Popular Demand,20060102,0.2259,0.5984,0,0.893,0.107
Mayor Michael R. Bloomberg has set a high bar for himself for the next four years.,"A Mayor With Lofty Goals, and Better Than Average Odds of Reaching Them",20060102,0,0,0,1,0
"GETZLER--Eva. December 28, in her 100th year. Wife of the late Charles. Mother of Abe and Shelly (Horowitz). Cherished grandmother of Renee, Marian, Joel, Robin, Amy, Allen. Beloved greatgrandmother of 14. Greatgreat-grandmother of two. A wonderfu...","Paid Notice: Deaths GETZLER, EVA",20060102,0.145886,0.765,0,0.833,0.167
Parliament is pressing the government to act on the inconvenience caused by security barriers set up by foreign elements.,New Afghan Parliament and Karzai Act to Rid Streets of Kabul of Security Barriers,20060102,-0.0258,-0.0258,0.114,0.776,0.11
The long Spanish lunch break has been permanently cut short for government workers to keep pace with the rest of Europe.,"In the New Year, a Novel Idea for Spanish Government Workers: A Literal Lunch Hour",20060102,-0.2732,-0.2732,0.095,0.905,0
"RAY--Talton F. Editor and publisher, The Francis Press, age 66. Died peacefully at home in Washington, DC, on December 31, 2005, after a courageous battle with brain cancer. Beloved husband of Lilli for 42 years, he is also survived by daughters J...","Paid Notice: Deaths RAY, TALTON F.",20060102,0.08955,0.4215,0.183,0.586,0.231
"'We've come a long way, and now we have a choice to make. We could be content with what we have accomplished and preserve our gains, or we can take our beloved city even further forward -- and make the promise of opportunity real for every person...",QUOTATION OF THE DAY,20060102,0.4568,0.9136,0,0.745,0.255
"Martin Tankleff was convicted of killing his\nparents in 1990, but his lawyers are looking to call new witnesses and present an alternate theory of what happened.",Awaiting Next Word in 17-Year-Old Murder Case,20060103,-0.4019,-0.4019,0.094,0.906,0
"In this lesson, students consider some of the significant events that shaped 2005 through The Learning Network's year-end news quiz, as well as through specific topic-based news quizzes that they create. They then make predictions for some of the ...",A Year to Remember,20060103,0.3062,0.6124,0,0.86,0.14
The singer-songwriter Nellie McKay says she has been dropped by Columbia Records just as her follow-up was scheduled to reach stores.,Songwriter Says Columbia Dropped Her in Fight Over Album,20060103,0.0258,0.0258,0,0.948,0.052
To the Editor: Scientists hoping to sway opinion by mocking creationism and intelligent design have it exactly wrong (''Darwin's Cause''). Proponents of creationism have been effective in suggesting that evolution is somehow incompatible w...,"Use Humor, but Not Mockery",20060103,0.3819,0.6705,0.129,0.599,0.273
"To the Editor: While I appreciate the efforts of philanthropists to donate money to the public schools, their contributions will affect only a small group of students, most of them marginally.",Must Our Schools Rely on Charity?,20060103,0.4019,0.4019,0,0.912,0.088
"To the Editor: Re ''35 and Pregnant? Assessing Risk Becomes Easier'' (Personal Health, Dec. 27): Jane E. Brody described the impressive advances in assessing the likelihood of genetic disorders early in pregnancy. She did not, however, attend ...",The Risks of Screenings,20060103,0.098667,0.296,0.051,0.87,0.08
"An article on Sunday about American military casualties in Iraq misstated figures in some copies for the American service members wounded in 2005 and 2004 as reported by the Iraq Coalition Casualty Count, a nonprofit group that tracks American ser...",Corrections,20060103,-0.5267,-0.5267,0.082,0.918,0
Surgical procedures to lose weight have gained popularity in Europe as methods have become simpler and obesity rates have climbed.,Europeans Find Extra Options for Staying Slim,20060103,0.4588,0.4588,0.106,0.669,0.224
"A consortium of investment firms is nearing a deal to buy Affiliated Computer Services, a technology outsourcing company, for more than $8 billion.",Affiliated Computer Said Near Deal to Sell,20060103,0,0,0,1,0
"In an appealing if occasionally grotesque hour, this program lets viewers in on how one emaciated figure emerged as both a regal relic and a trove of data.",A Leader as Notable in Death as He Was Powerful in Life,20060103,0,0,0,1,0
"Macaroni and cheese may seem an easy proposition. Noodles, cheese. But the secret to this creamy dish with a crunchy and crisp top is American cheese. This is no place for fancy cheeses or fancy noodles. Leave the whole-wheat penne and artisanal o...",Macaroni and Lots of Cheese,20060104,0.05902,0.3182,0.074,0.824,0.102
Janet McTeer's Mary Stuart is the most spectacular embodiment of a series of characters in London theaters who are doomed by their refusal to be other than themselves.,"Weathering the Storm in London, Which Has Creativity to Keep It Warm",20060104,-0.6369,-0.6369,0.139,0.861,0
Bruce Feiler visits Old Testament locations in this long and winding PBS documentary created to complement his book of the same name.,Standing Where Moses Stood,20060104,0.25,0.25,0,0.913,0.087
"In this game of claim and counterclaim, CBS and Fox are both correct, because they used authorized, but different measurements from Nielsen Media Research.",CBS And Fox Make Case For No. 1,20060104,0,0,0,1,0
"Now 66, the singer known simply as Dion has come back to his prerock roots with ""Bronx in Blue,"" a spare collection of acoustic blues standards.",A King of the Bronx Reclaims His Country-Blues Heart,20060104,0,0,0,1,0
"Federal Reserve Indicates That Period Of Raising Rates May Be Near an End The Federal Reserve has set the stage for ending its 18-month campaign of raising interest rates, but officials signaled that they are entering a new period of uncertainty ...",BUSINESS DIGEST,20060104,-0.2732,-0.2732,0.07,0.884,0.045
Hundreds of children returned to schools that survived Hurricane Katrina for a much-anticipated first day of class.,"Students Return to Big Changes in New Orleans, With Charter Schools Taking the Lead",20060104,0.5106,0.5106,0,0.82,0.18
"As an openly gay woman, Councilwoman Christine C. Quinn could become a trailblazer for other gay politicians.","Woman in the News: Christine Callaghan Quinn; Speaker, Doer and Symbol in Top City Council Job",20060104,0,0,0,1,0
"WEISS--Blanche. On May 19, 2005, at the age of 91. Beloved wife of Stephan, who predeceased her in 1998. She is survived by her children, Lawrence of New York City and Erica (Harry) Marsden of Ann Arbor, Michigan, and her grandchildren, Adam and P...","Paid Notice: Deaths WEISS, BLANCHE",20060104,0.2553,0.765,0,0.864,0.136
"Caviar, the briny eggs of sturgeon, is one of the most coveted and lucrative wildlife products.",10 Nations Told to Halt Caviar Exports to Save Sturgeon,20060104,0,0,0,1,0
"""Four Kings"" is better than a lot of similar sitcoms, but it's not different enough to stand out in what NBC hopes will be a renaissance of must-see television.","They Won't Grow Up. Not Quite Yet, Anyway, if They Can Possibly Help It.",20060105,0.6858,0.6858,0,0.816,0.184
"MEAD--Anne S. January 3, 2006. Wife of Allen W., M.D. Mother of Allen W. Jr., John S. & the late Martha Havron. Sister of the late John Stackhouse. Grandmother of Mary Anne Franks, Katherine C. Mead & John M. Mead. Former president of Browning Sch...","Paid Notice: Deaths MEAD, ANNE S.",20060105,0,0,0,1,0
"ARENSTEIN--Jack. Beloved husband of Renee, devoted father of Seth, and Dr. Michael (Laura), adored grandfather of Ellie, and caring brother of Lila. A World War II veteran, he was the first to teach English on NYC television. He was a mentor to ma...","Paid Notice: Deaths ARENSTEIN, JACK",20060105,0.075175,0.7964,0.075,0.694,0.231
"Terence Riley, who is stepping down in March as chief curator of architecture and design at the Museum of Modern Art, has accepted a job as director of the Miami Art Museum.",Exiting MoMA Curator Heads for Miami,20060105,0.2732,0.2732,0,0.935,0.065
This taste for fins is ridding the world's oceans of one of its most ancient creatures.,Hidden Cost of Shark Fin Soup: Its Source May Vanish,20060105,0,0,0,1,0
"Sales of digital tracks are increasing rapidly, but not enough to compensate for the decline.",Album Sales Shift Back To a Decline,20060105,0,0,0,1,0
"In his final State of the State speech, Gov. George E. Pataki tried to recapture some of what got him elected nearly 12 years ago.",Pataki Stresses Tax Cuts in Address Reprising Early Themes,20060105,0,0,0,1,0
"KELLER--Bernice ''Bee.'' Passed away tragically January 2, 2006. Wife of the late Bud. Artist, animal lover, tennis player, friend, and most of all, sweet, loving mother. I will miss you and love you forever. Your son, Jeffrey","Paid Notice: Deaths KELLER, BERNICE ''BEE.''",20060105,0.153333,0.9333,0.101,0.551,0.349
Wilbur L. Ross Jr. readily accepts the common perception of him as a consummate cost cutter. But he bridles at any suggestion that his focus on the bottom line in any way led to the explosion that killed 12 men in the West Virginia mine that his c...,"Cost Cutting Had No Bearing On Explosion, Executive Says",20060105,-0.17615,-0.4939,0.087,0.869,0.044
Iran vowed Wednesday to proceed with a plan to restart nuclear research next week.,Iran Declares Its Nuclear Plan Nonnegotiable,20060105,0,0,0,1,0
"In Chicago, Mayor Richard M. Daley has lost some of his political luster after being mired in the most difficult stretch of his mayoralty.",Scandal Is Loosening Daley's Grip on Chicago,20060106,-0.624,-0.624,0.188,0.812,0
"The real mark against ""The Book of Daniel"" is not sympathy for the devil. The real objection is that it's just not very good.",Plenty of Behavior Worthy of a Prayer Session,20060106,-0.8455,-0.8455,0.303,0.697,0
"For those interested in progress in the peace process in Israel, there is little reason for hope.",In the Shadow of Sharon,20060106,0.8919,0.8919,0,0.528,0.472
Both parties prepared to roll out lobbying reform proposals after Jack Abramoff's guilty plea to public corruption charges.,Abramoff Conviction Gives New Impetus to Moves in Congress to Toughen Curbs on Lobbying,20060106,-0.1531,-0.1531,0.261,0.546,0.193
"INTERNATIONAL A3-14 As Many 130 Are Killed In Explosions in Iraq Suicide bombers and a roadside explosion killed as many as 130 people in Iraq, rekindling fears of a return to mass sectarian killings after a relative lull and prompting the c...",News Summary,20060106,-0.9712,-0.9712,0.38,0.62,0
"The Wildcats defeated the Cardinals while sending an unnecessary reminder that playing in the new 16-team Big East may be exciting, but it is not easy.","Louisville Finds Out It's Big East, Not Big Easy",20060106,-0.3937,-0.3937,0.168,0.718,0.114
"BERSE -- Sylvia Levinson. Age 84, died January 4, 2006 surrounded by her loving family after losing a courageous battle with cancer. Beloved wife of the late William Levinson. Cherished mother and best friend of Debbie, Jane and Bonnie. Adored gra...","Paid Notice: Deaths BERSE, SYLVIA LEVINSON",20060106,0.22318,0.8979,0.199,0.437,0.363
An article on Dec. 23 about visiting Revolutionary War sites in New York City with the historian David McCullough erred in describing John Adams and John Quincy Adams as members of George Washington's cabinet in 1790. John Adams was vice president...,Correction,20060106,-0.2997,-0.5994,0.089,0.911,0
"CONNERAT-George H. Formerly of Essex, CT died peacefully on January 4, 2006 at the age of 94. For the past two years he resided in Berke ley Heights, NJ. Mr. Connerat the second son of Robert Vincent and Katherine was born on August 30, 1911 in At...","Paid Notice: Deaths Connerat, George H.",20060106,-0.0172,-0.0516,0.069,0.865,0.065
"HIMMELFARB-Milton. The editors and staff of Commentary magazine mourn the death of a brilliant intellectual, scholar, and friend whose scintillating and groundbreaking essays on Jews and Judaism graced our pages for five decades. Neal Kozodoy, Edi...","Paid Notice: Deaths Himmelfarb, Milton",20060106,0.2235,0.6705,0.14,0.605,0.255
"ALBERT Hofmann, the father of LSD, walked slowly across the small corner office of his modernist home on a grassy Alpine hilltop here, hoping to show a visitor the vista that sweeps before him on clear days. But outside there was only a white blan...","Nearly 100, LSD's Father Ponders His 'Problem Child'",20060107,0.32985,0.6597,0,0.881,0.119
"""Campus Ladies,"" which has its premiere Sunday night on Oxygen, is often hilarious but it may be an acquired taste.",College Days and Nights of 2 Ladies,20060107,0.2144,0.2144,0,0.911,0.089
"To the Editor: ''Plaza Apartments, for Millionaires Only'' (news article, Jan. 5) calls to mind my wedding night in June 1957.",A Night at the Plaza Hotel,20060107,0,0,0,1,0
"FEIL-Gertrude. The Brooklyn Law School community mourns the loss of Gertrude Feil, beloved mother of our distinguished graduate and trustee, Jeffrey Feil. We are pleased that Gertrude was able to attend the dedication of Feil Hall, which was named...","Paid Notice: Deaths Feil, Gertrude",20060107,0.112567,0.3612,0.119,0.71,0.171
"LEVINE-Sadie Dubin. Of Brooklyn, NY, died on January 6, 2005. Devoted wife of the late Jack Levine, beloved mother of David Levine, mother-in-law of Denise Levine, loving grandmother of Michael and Aly Levine and Joanna and Gregg Nadel, great-gran...","Paid Notice: Deaths Levine, Sadie Dubin",20060107,0.104867,0.743,0.074,0.722,0.204
"Victims of suicide bombings in Israel filed a federal lawsuit against a major British bank, claiming that money was transferred to Hamas.",Victims of Bombings in Israel Seek Damages in New York,20060107,-0.8271,-0.8271,0.339,0.661,0
Investigators said the F.B.I. was overconfident in its fingerprint identification technology when it implicated Brandon Mayfield in the 2004 Madrid train bombing.,Inquiry Says F.B.I. Erred In Implicating Man in Attack,20060107,0,0,0,1,0
The Environmental Protection Agency is expected to unveil next week long-awaited changes in the way that it calculates fuel economy ratings for cars and trucks.,E.P.A. Set to Reveal Changes In Fuel Economy Calculations,20060107,0,0,0,1,0
"To the Editor: Re ''Bush and Others Shed Donations Tied to Lobbyist'' (front page, Jan. 5):",The Lobbyist And the Money,20060107,0,0,0,1,0
"A front-page article on Wednesday about the mine explosion in Sago, W.Va., referred incorrectly at one point to the gas that was present at high levels. As stated elsewhere in the article, it was carbon monoxide, not carbon dioxide.",Corrections,20060107,0,0,0,1,0
"The city may not know what to make of the building, but a generation of gay New Yorkers always did. And our verdict is the one that matters.",The Secret History of 2 Columbus Circle,20060108,0.2617,0.2617,0,0.891,0.109
"Reggaetón, a testosterone-driven music that mixes hip-hop, Jamaican dancehall reggae and Caribbean rhythms, gyrates in San Juan and beyond.","For San Juan Youth, Reggaetón Rules the Night",20060108,0,0,0,1,0
The eastern German city of Leipzig is sprucing up for its tourists.,Leipzig,20060108,0,0,0,1,0
Ironic observations in conversational free verse on a poet known for his ironic observations in conversational free verse.,Charming Billy,20060108,0.6808,0.6808,0.133,0.575,0.292
"Shunned by conservative Christian leaders, Pat Robertson still has his own TV show.",Even Pat Robertson's Friends Are Wondering...,20060108,0,0,0,1,0
Judge Samuel A. Alito Jr.'s confirmation hearings are likely to focus on the expansion of executive power. But it's not the Supreme Court that has to curb the presidency. It's Congress.,Our Presidential Era: Who Can Check the President?,20060108,-0.4449,-0.4449,0.089,0.911,0
"A blog, of course, stars in the first novel of Ana Marie Cox, the creator of Wonkette.",Web of Lies,20060108,0.3182,0.3182,0,0.867,0.133
The Maya Riviera -- a roughly 80-mile strip of land below the commercialized spring-break cornerstone of Cancún -- is sprouting family-friendly megaresorts.,Maya Riviera: Where Maya Ruins Meet Megaresorts,20060108,0,0,0,1,0
"This meal in a bowl is pure midwinter comfort. Loosely adapted from the Japanese dish zousui, beaten eggs are poured into a pot of hot stock and rice, where they set into soft, custardlike strands. You can use any kind of stock and any kind of ric...",The Way We Eat; Which Came First?,20060108,-0.0201,-0.0772,0.058,0.89,0.052
"An interactive look at the opinions of Justice Samuel A. Alito Jr. and Chief Justice John G. Roberts Jr., editorial perceptions and the legacy of the Supreme Court.",Changes at the Supreme Court,20060109,0.886,0.886,0,0.706,0.294
"Text of Seoul National University's report on Dr. Hwang Woo Suk, the South Korean researcher who claimed to have cloned human cells.",Text of the Report on Dr. Hwang Woo Suk,20060109,0.4767,0.4767,0,0.871,0.129
"An estimated 800,000 adult New Yorkers now have diabetes, and city health officials describe the problem as an epidemic.",Diabetes and Its Awful Toll Quietly Emerge as a Crisis,20060109,-0.4019,-0.4019,0.13,0.87,0
"Diabetes, long viewed as a routine byproduct of old age, is emerging as the biggest health problem menacing New York City.",The Stealth Epidemic,20060109,-0.4019,-0.4019,0.124,0.876,0
Type 1 and Type 2 diabetes are diseases in which the amount of sugar in the blood rises to dangerous levels. Neither is truly curable.,By the Numbers: One Scourge in 2 Forms,20060109,-0.0516,-0.0516,0.115,0.778,0.107
A sweet and doleful study in self-sabotage begins on PBS tonight in this three-part documentary about Appalachian adolescence.,Growing Up in Appalachia Between Hope and Despair,20060109,0.4588,0.4588,0,0.842,0.158
"It has been one of the most bizarre literary mysteries: Who is the novelist JT Leroy? An answer, at long last, is taking shape.","The Unmasking of JT Leroy: In Public, He's a She",20060109,0.0103,0.0103,0.095,0.808,0.097
"Before product placement became such a lucrative business, movie studios tended to place imaginary products on the screen.",Fake Products and the Movies That Loved Them,20060109,0,0,0,1,0
"Two very different ballerinas led the casts in ""Allegro Brillante,"" and that, perhaps, was the deciding factor.","In Balanchine Piece, What a Difference a Ballerina Makes",20060109,0,0,0,1,0
"To the Editor: Re ''States Take the Lead in Push to Raise Minimum Wages'' (front page, Jan. 2): The minimum wage could prove to be a pivotal issue in the 2006 election, as approximately nine states follow Florida's and Nevada's lead and consid...",State Wage Referendums,20060109,0,0,0,1,0
"Jack Abramoff, former superlobbyist and newly convicted felon, is learning how unpleasant disgrace can be.",From Big-Time Lobbyist to Object of Derision,20060110,-0.743,-0.743,0.326,0.674,0
"Two weeks before Hurricane Katrina struck, Prof. Kerry Emanuel reported that he had discovered evidence that hurricanes were affected by global warming.","With Findings on Storms, Centrist Recasts Warming Debate",20060110,-0.25,-0.25,0.149,0.785,0.066
"A South Korean researcher who claimed to have cloned human cells fabricated all his evidence, an investigation found.","Researcher Faked Evidence of Human Cloning, Koreans Report",20060110,0,0,0,1,0
"In East Harlem, an invisible web of diabetes stretches throughout the neighborhood, touching nearly every life with its menace.","Living at an Epicenter of Diabetes, Defiance and Despair",20060110,-0.4939,-0.4939,0.151,0.849,0
The people behind this 10-part series probably hope that the show will expand bull riding's appeal. But the first episode doesn't show much promise.,"Ornery Critter on My Back, Just How Long Will You Last?",20060110,0.5003,0.5003,0.07,0.746,0.185
The Phantom of the Opera became the longest-running show in Broadway history when the curtain went up Monday night.,The King of Broadway Slide Show,20060110,0,0,0,1,0
"An article in the special Education Life section on Sunday about a course at Middlebury College on scientific instruments misstated the given name of one of its teachers. He is P. Frank Winkler, not Fred Winkler. Because of an editing error, a...",Corrections,20060110,0,0,0.061,0.878,0.061
"Abu Hamza al-Masri, an Islamic cleric, went on trial in London, accused of urging the murder of Jews and other non-Muslims along with crimes including inciting racial hatred and terrorism offenses. He could be imprisoned for life if convicted. Mr....",World Briefing | Europe: Britain: Cleric On Trial On Hate Charges,20060110,-0.47277,-0.969,0.384,0.616,0
Adult survivors of populations that had high levels of childhood infection are shorter in stature and die younger than those who lived in times of lower infection rates.,Childhood Infections Take Toll in Later Life,20060110,-0.7269,-0.7269,0.19,0.81,0
"INTERNATIONAL A3-12 18 Iraqi Police Killed In Suicide Bombing Two suicide bombers carrying police identity cards killed at least 18 officers and wounded 25 at an Interior Ministry checkpoint, just a few hundred yards from a ceremony attended...",News Summary,20060110,-0.9638,-0.9638,0.36,0.64,0
Doctors and hospitals profit by treating complications of diabetes but lose money when they try to prevent them.,"In the Treatment of Diabetes, Success Often Does Not Pay",20060111,-0.3506,-0.3506,0.164,0.693,0.143
"It is with great sorrow, and no small amount of embarrassment, that I must confess to some inadvertent errors in my best-selling memoir.",A Million Little Corrections,20060111,-0.7003,-0.7003,0.341,0.531,0.128
"Among the people who love New Orleans food, the debate is whether the high can survive without the low.",Can New Orleans Save the Soul of Its Food?,20060111,0.7196,0.7196,0,0.739,0.261
UPN's nighttime soap opera is the perfect show for the post-slacker generation: work-averse careerists.,"In a Sexy World of Deceit, Even the Slackers Prevail",20060111,0.5719,0.5719,0,0.778,0.222
Al di Là is an ideal neighborhood restaurant that's become much more than a neighborhood restaurant.,"Go Ahead, Brooklyn: Be Smug",20060111,0.5267,0.5267,0,0.805,0.195
"In this lesson, students learn how the apartheid era impacted one man's struggle to receive an education. They then research different time periods during apartheid and write about general impressions as well as key events from the perspectives of...",Separation Anxiety,20060111,0.0703,0.1779,0.054,0.851,0.095
"Rice isn’t actually “ruined” when it sticks to the bottom of the pot. Indeed, in a lot of places and across the Middle East, stuck-pot rice is encouraged for its sticky, crusty deliciousness. This is a dead-easy way to cook it, before serving with...",Stuck-Pot Rice With Yogurt and Spices,20060111,0.2162,0.6486,0,0.883,0.117
Six Degrees of Perspiration.,Exercise Products in History Slide Show,20060111,0,0,0,1,0
"In a Park Slope brownstone, a test of communal living for two brothers and their wives.",Group House Audio Slide Show,20060111,0,0,0,1,0
"The recruiting network sent Islamic militants to join the insurgency in Iraq, according to Spanish officials.",20 Arrested as Spain Breaks Militant Network,20060111,0.296,0.296,0,0.872,0.128
"James Frey, the author of the best-selling memoir ""A Million Little Pieces,"" acknowledged that he had made up details of his life.",Writer Says He Made Up Some Details,20060112,0,0,0,1,0
"Asians are acutely susceptible to diabetes, a factor that is compounded by recent immigrants' collision with American diet.","East Meets West, Adding Pounds and Peril",20060112,-0.3612,-0.3612,0.135,0.865,0
"Global warming is combining with a spreading fungus to kill off many species of frogs in Latin America, scientists say.",Frog Killer Is Linked to Global Warming,20060112,-0.6249,-0.6249,0.202,0.73,0.069
"An unusually weighty sitcom that starts on ABC tonight, ""Crumbs"" is also a bonanza of WASP shtick.",Sliding Down a Lithium-Paved Loss of Respectability,20060112,0,0,0,1,0
"New shows in New York include ""The Little Dog Laughed"" and ""Beauty of the Father.""",Recent Openings Slide Show,20060112,0.7595,0.7595,0,0.666,0.334
"A high-end handyman -- equal parts decorator, handyman, fixer and finder -- finds his niche in the overequipped home.",A Man For All Details,20060112,0,0,0,1,0
The slow initial response in detecting the arrival of bird flu has created a health crisis that may be very hard to correct.,Turkey May Have Lasting Traces of Flu,20060112,-0.7501,-0.7501,0.296,0.634,0.07
"An article on Tuesday about the former lobbyist Jack Abramoff misstated the origin of his friendship with Representative Dana Rohrabacher, a California Republican who has been one of his strongest defenders. When the two men met, Mr. Abramoff was ...",Corrections,20060112,0.36345,0.7269,0,0.835,0.165
"Q. My teenage daughter wants to paint her bedroom black. One wall, O.K. But four?",ROOM TO IMPROVE,20060112,0,0,0,1,0
"WILDMAN--Edna. The officers, Board of Directors, and staff of UJA-Federation of New York mourn the passing of Edna Wildman, whose dedicated years of service to the New York Jewish community as executive director of the Kings Bay YM-YWHA has profou...","Paid Notice: Deaths WILDMAN, EDNA",20060112,0.0258,0.0516,0.064,0.868,0.068
"Officials revealed new and harrowing details of the Brooklyn girl's short life, as well as repeated missed opportunities to save it.","Long Chain of Alarms Preceded Death of Girl, 7",20060113,0.6908,0.6908,0.081,0.627,0.292
"The new season, which brings Jack Bauer back and includes iPodish computer wizardry and cliffhanger suspense, does not disappoint.","Back From the Dead, a Secret Agent Is Ready to Save the World Again",20060113,0.3089,0.3089,0,0.889,0.111
"Silver City is a bit rough around the edges, especially compared with places like Santa Fe and Taos, but that's the way the locals like it.","36 Hours in Silver City, N.M.",20060113,0.6124,0.6124,0,0.821,0.179
"At a Disney resort in Florida, a faux New Orleans serves up jazz, beignets and nostalgia.","Not the Real New Orleans, but It Will Have to Do",20060113,0,0,0,1,0
The Met players positively glowed with enthusiasm and refinement in their standard-repertory program at Alice Tully Hall on Wednesday.,"For the Young Faces of Opera, A Night to Show Off in Style",20060113,0.743,0.743,0,0.73,0.27
"A core group of contrarians not only won't be tuning into the Super Bowl this year, they'll be attending alternative events.",AHEAD | Anti-Super Bowl Events; Far From the Madden Crowd,20060113,0.5994,0.5994,0,0.83,0.17
An article in The Arts on Dec. 31 about the ABC show ''New Year's Rockin' Eve'' with Dick Clark referred imprecisely to its ratings in recent years. The average of 8.1 million viewers for 2001-2004 was for the 10 p.m.-11 p.m. hour; an average of 2...,Corrections,20060113,-0.2553,-0.5106,0.068,0.932,0
Bode Miller bowed to pressure from ski officials and apologized for his comments that suggested he had skied under the influence of alcohol.,Miller Takes Serious Turn In Apology For Remarks,20060113,0.0258,0.0258,0.086,0.824,0.09
INTERNATIONAL A3-10 U.S. and Europeans Say Iran Talks Are at Standstill The United States and the leading nations of Europe declared an end to negotiations with Iran over dismantling its suspected nuclear weapons program and demanded that Ir...,News Summary,20060113,-0.4404,-0.4404,0.154,0.782,0.064
GOODHUE--Sarah Parker. 1828-1917. A great lady and a great benefactor. The New York Society Library,"Paid Notice: Memorials GOODHUE, SARAH PARKER",20060113,0.8481,0.8481,0,0.573,0.427
Mayor Michael R. Bloomberg said he wanted to find out why child welfare workers failed to obtain a warrant to enter the home where the girl died.,"Bloomberg Orders Inquiry in Death Of Abused Girl, 7",20060114,-0.7845,-0.7845,0.223,0.777,0
"David Rosenbaum never settled for ""essential"" truths.",Oprah! How Could Ya?,20060114,0.4215,0.4215,0,0.682,0.318
The wonderful thing about David Rosenbaum was that you couldn't guess what he'd conclude on an issue.,The Reporter Who Got It Right,20060114,0.5719,0.5719,0,0.812,0.188
"Google, I.B.M. and Berkshire Hathaway all have market capitalizations in the vicinity of $135 billion.",When the Market Values Hope Over Experience by a Factor of 18,20060114,0,0,0,1,0
"Researchers report that four women, who may have lived 2,000 to 3,000 years ago, are the ancestors of 40 percent of Ashkenazis alive today.",New Light On Origins Of Ashkenazi In Europe,20060114,0.3818,0.3818,0,0.898,0.102
"An article yesterday about the focus on Princeton University during the Supreme Court confirmation hearings for Judge Samuel A. Alito Jr. misstated the alma mater of Senator Joseph R. Biden, Democrat of Delaware, who criticized Judge Alito for bei...",Corrections,20060114,0.2732,0.2732,0.058,0.858,0.084
"Democrats and Republicans say Judge Samuel A. Alito Jr.'s confirmation to the Supreme Court is all but certain, yet the fight over his nomination heated up on Friday as both sides seized on it as a flashpoint for Senate races in the fall and futur...",WIDER FIGHT SEEN AS ALITO VICTORY APPEARS SECURED,20060114,0.1406,0.1406,0.069,0.831,0.1
"As home prices have risen so sharply, more homeowners may find themselves paying a bit more in taxes than they had anticipated because they keep a home office.",Depreciation Appreciation 101: The Ins and Outs of Deducting for a Home Office,20060114,0,0,0,1,0
