snippet,headline__main,year_mo,compound,negative,neutral,positive
"Was Lyndon B. Johnson a civil rights mastermind, or a reluctant follower pulled along by activists led by the Rev. Dr. Martin Luther King Jr.?",Depiction of Lyndon B. Johnson in ‘Selma’ Raises Hackles,201501,-0.25,0.083,0.917,0
"Lottery numbers for New York, New Jersey and Connecticut.","Winning Lottery Numbers for Dec. 31, 2014",201501,0,0,1,0
"As United States combat operations formally ended, many military families said they sensed they had already been forgotten.","Mission Ends in Afghanistan, but Sacrifices Are Not Over for U.S. Soldiers",201501,-0.128,0.195,0.679,0.127
"At least three soldiers were killed in the latest confrontation, an exchange of fire that heightened tensions.",Skirmishes Flare Along India-Pakistan Border,201501,-0.8979,0.478,0.522,0
"Lawyers for Dzhokhar Tsarnaev, the defendant in the 2013 Boston Marathon bombings, made a last-ditch effort late Wednesday to move the trial out of Boston.",Massachusetts: New Effort to Move Bombings Trial,201501,0,0,1,0
"A new job title — chief of laboratory safety — will be created at the Centers for Disease Control and Prevention, the agency announced Wednesday.",New C.D.C. Job Overseeing Laboratory Safety,201501,0.5859,0,0.821,0.179
"Though she is still popular at home and respected abroad, might this be the year Chancellor Angela Merkel loses her touch?",Euro and Immigration Promise Challenges for Merkel in 2015,201501,0.5574,0.088,0.687,0.225
"Separating himself from much of the emerging Republican presidential field, former Gov. Jeb Bush of Florida has declined an invitation to speak at a Jan. 24 political event organized by one of the most strident immigration critics in Congress.",Jeb Bush Won’t Attend Immigration Critic’s Event in Iowa,201501,-0.3535,0.062,0.938,0
"Andrea Bargnani, J. R. Smith and Carmelo Anthony all started for the Knicks, who lost again anyway, this time to the Los Angeles Clippers.","Before Ball Drops, the Knicks Continue Their Own Descent",201501,-0.3182,0.091,0.909,0
The St. Louis police used pepper spray against several protesters Wednesday when they tried to rush into Police Headquarters.,Missouri: Arrests at St. Louis Police Headquarters Protest,201501,-0.2263,0.095,0.905,0
"China faces a dilemma in dealing with Western information giants like Google, Twitter and Facebook.","In Foiling Gmail, China Foils Itself",201501,0.2023,0.105,0.741,0.154
"Minimum wage increases go into effect in 20 states and the District of Columbia by Jan. 1, and, all told, 29 states will exceed the federal minimum of $7.25 an hour at the beginning of January.","States’ Minimum Wages Rise, Helping Millions of Workers",201501,0,0,1,0
"Florida State, an underdog by more than a touchdown, will play the lack-of-respect card against Oregon in a game that features this season’s and last season’s Heisman Trophy winners.",Florida State vs. Oregon: Rose Bowl Preview,201501,0.6705,0,0.82,0.18
The best matchup in this game is a battle between coaches.,Sugar Bowl 2015: Alabama vs. Ohio State Preview,201501,0.3818,0.176,0.541,0.284
"Because of cost, airlines have been too slow to outfit planes with real-time data streaming.",When Airplanes Go Missing,201501,0,0,1,0
Union officials say policing the nightly demonstrations and the deaths of two officers have had an impact.,Arrest Statistics Decline Sharply; Police Unions Deny an Organized Slowdown,201501,0,0,1,0
Distrust between the two countries has resurfaced as the search for nearly 300 kidnapped girls has lost momentum.,"With Schoolgirls Taken by Boko Haram Still Missing, U.S.-Nigeria Ties Falter",201501,-0.6249,0.242,0.758,0
"Rigorous evidence should inform spending. Until lately, it hasn’t.",Social Programs That Work,201501,-0.2732,0.208,0.792,0
"The toymaker, facing criticism, said it would replace a piece from its Play-Doh Cake Mountain toy set.",Hasbro Is Replacing Toy Piece Many Think Resembles a Penis,201501,-0.4404,0.162,0.838,0
"Marrone, a Bronx native who opted out of his contract as Buffalo’s coach, served as the Jets’ offensive line coach for four seasons under Herman Edwards.",Doug Marrone Quits Bills and Is Said to Draw Jets’ Interest,201501,-0.4588,0.111,0.889,0
"Gov. Andrew M. Cuomo announced on Wednesday that he had pardoned two men, one who had been convicted in a drug case and another who was convicted of robbery.","Cuomo, Using Pardon Power, Gives Pair a ‘Second Chance’",201501,0.2263,0,0.934,0.066
"When the chef Marco Canora was told to cut back on coffee, soda, wine and beer for health reasons, he found himself sipping cups of broth from the stockpots at his restaurant, Hearth, instead. Soon he had designed an entire system of healthful eat...",null,201501,-0.2732,0.047,0.953,0
"""Bone broth"" has become stylish as part of the Paleo diet, which enthusiastically recommends eating meat and bones. (The idea is to eat like our Paleolithic, pre-agricultural ancestors.) But cooks have known its wonderful qualities for centuries. ...",null,201501,0.8934,0,0.744,0.256
"SCHWARTZ--Muriel ""Micki"", died peacefully at her Westport, CT home on December 23. Born in the Bronx, Micki grew up in New York City with her parents Isidor ""Eddie"" and Eva Laks, her late brother Henry and sister Sandra. She and her husband, the l...","Paid Notice: Deaths SCHWARTZ, MURIEL ""MICKI""",201501,-0.0516,0.073,0.857,0.069
"HUDDY--John E.,55, died suddenly on December 29, 2014. John was a graduate of Kings Park High School and received his degree in Architecture from The Cooper Union and also obtained a degree in Philosophy from Stony Brook University. In 2009 Cooper...","Paid Notice: Deaths HUDDY, JOHN E.",201501,-0.5574,0.087,0.913,0
"SEDLER--Herbert, 84, of Manhattan passed away on December 30, 2014. Born April 25, 1930 to Edith and Max Sedler in East New York. Beloved husband of Geri Sedler, father of Jordan Sedler (Robbie) and Lauren Lott (Nick). Beloved grandfather of Alex ...","Paid Notice: Deaths SEDLER, HERBERT",201501,0.765,0,0.858,0.142
"FRANK--Claude. On behalf of the Board of Directors and the entire Performers of Westchester family, we are saddened and mourn the loss of our great friend, long time pianist-in-residence and Board member Claude Frank. It has been our honor and pri...","Paid Notice: Deaths FRANK, CLAUDE",201501,0.4588,0.157,0.648,0.194
"BING--Cynthia Eaton. Passed away peacefully at Mt. Sinai Hospital on December 12 after a long illness. Cynthia was born on April 6, 1942 in Belfast, ME. She attended Abbott Academy (Philips Andover Academy) and Connecticut College for Women (Conne...","Paid Notice: Deaths BING, CYNTHIA EATON",201501,0.1779,0.064,0.855,0.081
"BERMAN--Peggy T. Of Greenwich, CT, passed away on December 28 at the age of 87. She died peacefully in her sleep in the comfort of her own home, where she remained a keen observer of all things worldly, just as she had before and throughout her 62...","Paid Notice: Deaths BERMAN, PEGGY T",201501,0.5859,0.067,0.778,0.156
"ROSENBERG--Fred L.,died peacefully a month shy of his 96th birthday while independently living in his new home amid new friends at Kendal on Hudson in Sleepy Hollow, NY on December 23, 2014. Fred passed ten years to the day after the death of his ...","Paid Notice: Deaths ROSENBERG, FRED L.",201501,0.1531,0.113,0.763,0.124
"POPISH--Lawrence. Forever in our thoughts, our love is eternal. Mom, Dad & Nancy 1/3","Paid Notice: Memorials POPISH, LAWRENCE",201501,0.6369,0,0.741,0.259
"Anders Jacobsen of Norway defeated the four-time Olympic champion Simon Ammann of Switzerland to win the second ski jumping World Cup of the Four Hills tour in Garmisch-Partenkirchen, Germany.",Norwegian Beats Gold Medalist in Ski Jumping,201501,0.6808,0.084,0.707,0.209
"After years of waiting for the left-hander Manny Banuelos to fulfill his potential, the Yankees traded him to Atlanta for the right-handed pitcher David Carpenter and the left-hander Chasen Shreve.",Yankees Trade Former Top Prospect to Braves,201501,0.4404,0,0.909,0.091
"The team plans to speak next week with Marrone, who opted out as coach of the Buffalo Bills on Wednesday, but no interview has been scheduled yet, said a person with knowledge of the team’s thinking.",Doug Marrone Is Among Jets’ Candidates,201501,-0.4215,0.076,0.924,0
"A transcript of Gov. Andrew M. Cuomo’s inaugural address on Thursday, as recorded by The New York Times.",‘The Family of New York’: Cuomo’s Inaugural Address,201501,0,0,1,0
"Third-party ownership, the practice of selling shares of players in exchange for part of future transfer fees, is a large part of many clubs’ operations, but FIFA is banning the practice starting in May.",A Contentious Source of Income Is Set to Dry Up,201501,0.1531,0,0.952,0.048
"Marvin Wexler, a commercial litigator, also cultivates another side of himself, reading poetry to a room full of elderly and disabled residents at a nursing home.","Soothing the Aged With Verse, a Lawyer Takes a Road Less Traveled",201501,0,0,1,0
"Disparaged as “little weasels” by Rudolph W. Giuliani in 1999, the furry pets are supported by Mayor Bill de Blasio’s administration. The Board of Health will consider a proposal to legalize them this month.","Ferret Fanciers, Ruffled by Ban, Are Eager for New York City to Lift It",201501,-0.0258,0.067,0.868,0.064
Rosemary Bruno was already going through a difficult time when she learned she had cancer. Watching her mother fight her own way back to health has helped Ms. Bruno persevere.,Mother’s Courage Helps Daughter Change Course Amid Illness,201501,-0.8591,0.268,0.732,0
"Syrian fighters and activists who once gathered in southern Turkey to plan a revolution are now marooned, their hopes rapidly deflating.","Vanguard of Syria’s Uprising, Now on the Run From ISIS, Weighs a Bleak Future",201501,0.3818,0.055,0.818,0.127
The Washington Capitals defeated the Chicago Blackhawks in the seventh edition of the Winter Classic on a goal by Troy Brouwer with 12.9 seconds remaining.,"Battling Sun’s Glare at Ballpark, the Capitals Deliver a Final Bit of Brilliance",201501,-0.4767,0.119,0.881,0
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201501,0,0,1,0
The case brought to 21 the number of people arrested in connection with threats against the police since two New York City officers were fatally shot in their patrol car on Dec. 20.,"Man Threatened to Kill Officers, Authorities Say",201501,-0.8689,0.25,0.718,0.032
"Decades ago, Arthur Lampitt of Granite City, Ill., smashed his 1963 Thunderbird into a truck. On Wednesday, during surgery, a 7-inch turn signal lever from that T-Bird was removed from his arm.",Missouri: Blinker in Arm Finally Signals Pain,201501,0,0,1,0
"Tania Bruguera, who advocates free speech in her native country, was arrested for the third time in two days.",Cuba Again Arrests Artist Seeking Dissidents’ Release,201501,0.0516,0.132,0.726,0.141
A San Francisco Bay Area man accused of shooting at two police officers was apprehended after a manhunt in a neighborhood Thursday.,California: Man Accused of Shooting at Police,201501,-0.296,0.109,0.891,0
"Oregon, led by the Heisman Trophy-winning quarterback Marcus Mariota, ended Florida State’s 29-game winning streak with a big victory in the Rose Bowl.","Ducks Reach Title Game, in a Blur",201501,0.5267,0,0.861,0.139
Get used to the rise of the “pencil towers” across the city.,What’s Happening to New York’s Skyline?,201501,0,0,1,0
"The leader of the correction officers’ union has a record of bullying and shielding abusive officers, so federal oversight might be needed to do the job.",An Enemy of Reform in New York Jails,201501,-0.8442,0.26,0.74,0
"Even if the Palestinian Authority becomes a member of the court, the cases it plans to bring over the Gaza war last summer would face many hurdles.",Joining International Criminal Court Wouldn’t Guarantee Palestinians a War Crimes Case,201501,-0.5574,0.134,0.822,0.045
"A federal judge said Thursday that Florida’s county court clerks have a legal duty to issue marriage licenses to same-sex couples, but he stopped short of ordering them to do so.",Florida: Judge Clarifies Ruling on Marriages,201501,-0.2732,0.077,0.882,0.041
"William E. McCollom of Peachtree City was placed on administrative leave after calling in the shooting of his wife, Margaret, who is in critical condition and has not yet been questioned.",Georgia Police Chief on Leave After Shooting of His Wife,201501,-0.2969,0.107,0.854,0.04
"Ms. Rousseff’s narrow victory in October and the weakening of her governing coalition among lawmakers will make it harder for her to tackle the challenges she faces, experts said.",President Dilma Rousseff of Brazil Begins 2nd Term Vowing to Fight Graft,201501,-0.25,0.075,0.882,0.042
"Officials in Las Cruces, N.M., transformed an encampment in a dangerous part of the city into a hub of services for homeless people.","In New Mexico Tent City, a Glimmer of Hope",201501,-0.4767,0.134,0.866,0
"A huge blaze believed to have been ignited by firecrackers razed nearly a thousand shanties and killed three people in a slum near the capital, Manila.",The Philippines: Blaze Destroys a Slum,201501,-0.4939,0.162,0.755,0.083
"A suicide bomber blew himself up at the gates of a church in the northeastern city of Gombe during a New Year’s Day service, wounding eight people.",Nigeria: 8 Wounded in Church Bombing,201501,-0.6705,0.164,0.836,0
"The Interior Ministry said Thursday that 940 cars were set on fire by vandals on New Year’s Eve, fewer than the 1,067 set aflame the previous year.",France: Hundreds of Cars Set on Fire,201501,-0.34,0.085,0.915,0
"Gunmen attacked a truck carrying Kenyan soldiers near the border with Somalia on Thursday, seriously wounding three of them, the police said.",Kenya: Soldiers Ambushed by Gunmen,201501,-0.5719,0.198,0.802,0
"Violence in Iraq killed more than 15,000 civilians and security personnel in 2014, according to government figures issued Thursday, making it one of the deadliest years since the American-led invasion in 2003.",Iraq: Civilian Deaths Increase in 2014,201501,-0.802,0.215,0.725,0.06
"Exports for the whole of 2014 set a record high of $573.1 billion, underlining strengthening competitiveness for some of its companies.",Growth in South Korea Exports Exceeded December Forecasts,201501,0.4939,0,0.856,0.144
A consortium said that it had won a $233 million settlement in a dispute over cost overruns in an expansion of the Panama Canal.,Consortium of Canal Builders Win Settlement in Panama,201501,0.25,0.106,0.748,0.146
"The new year promises further attempts at online censorship, as the web increasingly serves as a platform for civil rights efforts.",Web Freedom Is Seen as a Growing Global Issue,201501,0.3818,0,0.88,0.12
"The agency’s executive director, Thomas J. Madison, and its chief operating and financial officer, John M. Bryan, resigned on New Year’s Eve, the latest sign of turmoil at the agency.",Top 2 Thruway Authority Executives Quit Without Warning,201501,-0.5423,0.138,0.862,0
Data indicate that Beijing may have to resort to more stimulus measures to avert job losses and debt default in the world’s second-largest economy.,China’s Economy Faces Sluggish Start for New Year,201501,-0.7096,0.247,0.753,0
A columnist meets many characters in the course of a year’s work. Here are a few featured in Common Sense who stood out.,"A Year of Columns, a Memorable Trove of Characters",201501,0,0,1,0
"A critical guide to productions in New York City, including shows in previews.",Theater Listings for Jan. 2-8,201501,-0.3182,0.173,0.827,0
"The Castros have long pointed to the base as a symbol of American imperialism, and it remains a sore point for Cubans.","Despite Thaw, American Base at Guantánamo Still Stings for Cubans",201501,-0.3612,0.116,0.884,0
"A recap of the events of April 15, 2013, and their aftermath, as jury selection for the trial of Dzhokhar Tsarnaev gets underway.",Boston Marathon Bombing: What We Know,201501,0,0,1,0
"Prime Minister Shinzo Abe pledged to make it easier for women who have children to continue careers, rather than leaving the work force.","To Rescue Economy, Japan Turns to Supermom",201501,0.4215,0,0.887,0.113
"It’s not often that the stars align this way. But the cosmic event here concerns the sibling actors Gyllenhaal, Maggie and Jake.","An All-Gyllenhaal Weekend, Anyone?",201501,0,0,1,0
"Michael Ginsburg, a reader, adds spilled coffee to the list of offenses against subway etiquette.",Add Coffee to Subway Evils,201501,-0.3612,0.161,0.839,0
"SAHYONNE--Sr. Doris Marie, R.C.D. on January 1, 2015 age 83. Funeral Mass Monday 11am Church of the Epiphany, 239 E. 21st and 2nd Ave. Wake at church 9:30am until 11am. 1/3","Paid Notice: Deaths SAHYONNE, SR",201501,-0.3612,0.077,0.923,0
"CUOMO--Mario M. Medallion Financial Corp. joins the nation in mourning the loss of our board member and trusted advisor Governor Mario M. Cuomo. For over eighteen years, his wisdom provided invaluable assistance in helping to guide the course of M...","Paid Notice: Deaths CUOMO, MARIO M",201501,0.5423,0.106,0.716,0.178
"CUOMO--Mario. The City University of New York deeply mourns the passing of Governor Mario M. Cuomo, whose legendary oratorical skills gave voice to millions and were matched only by his passionate commitment to a lifetime of exemplary public servi...","Paid Notice: Deaths CUOMO, MARIO",201501,0.3197,0.083,0.783,0.134
"CUOMO--Mario M. It is with great sadness that the partners, counsel, associates, and staff of Willkie Farr & Gallagher LLP mourn the passing of our distinguished friend, partner and counsel, Mario M. Cuomo. Governor Cuomo exemplified our firm's 12...","Paid Notice: Deaths CUOMO, MARIO M",201501,0.3818,0.121,0.723,0.155
"CUOMO--Mario. Greater New York Hospital Association (GNYHA) mourns the passing of Mario Cuomo, the 52nd Governor of New York State and father of current New York Governor Andrew Cuomo. A true friend of and advocate for New York's health care commu...","Paid Notice: Deaths CUOMO, MARIO",201501,0.8074,0.068,0.699,0.234
"HOFMANN--Virginia ""Ginnie"", nee Riteman, age 94, of Leonia, passed away on December 29, 2014. Ginnie was best known as the Illustrator of the Betsy McCall paper dolls that appeared in McCall's magazine from the 1950's through the 1970's. Mrs. Hofm...","Paid Notice: Deaths HOFMANN, VIRGINIA ""GINNIE""",201501,0.6369,0,0.903,0.097
"CUOMO--Mario M. While Governor Mario M. Cuomo's advocacy for low- and middle-income families is well documented, among the many shining achievements of his illustrious career in public service was Child Health Plus, which over the years has extend...","Paid Notice: Deaths CUOMO, MARIO M",201501,0,0.052,0.896,0.052
"KANTAKIS--George John. George John Kantakis, age 87, of Hawthorne, NJ, on Monday, December 29, 2014. Born in Manhattan and raised in Queens, George had lived in Maywood and then Hawthorne for the past 46 years. George had served his country during...","Paid Notice: Deaths KANTAKIS, GEORGE JOHN",201501,0,0,1,0
"CUOMO--Mario M. The board of trustees, leadership and staff of NewYork- Presbyterian Hospital mourn the loss of the Honorable Mario M. Cuomo, former governor of the State of New York. Governor Cuomo was a man of great intellect and tremendous eloq...","Paid Notice: Deaths CUOMO, MARIO M",201501,0.7783,0.1,0.667,0.233
"CUOMO--Mario. The Board of Directors and staff of the S.L.E. Lupus Foundation and the Lupus Research Institute deeply mourn the death of our beloved friend and long- time supporter Mario Cuomo, three-term governor of New York. As a compassionate a...","Paid Notice: Deaths CUOMO, MARIO",201501,0.5489,0.139,0.634,0.227
"CUOMO--Mario. The Board of Directors and staff of the S.L.E. Lupus Foundation and the Lupus Research Institute deeply mourn the death of our beloved friend and long- time supporter Mario Cuomo, three-term governor of New York. As a compassionate a...","Paid Notice: Deaths CUOMO, MARIO",201501,0.5489,0.139,0.634,0.227
"McDOWELL--Samuel. September 13, 1928 December 31, 2014. Professor Emeritus at Rutgers University, renowned zoologist, loving husband and father. His wife Rosa predeceased him in 1999. Survived by his son Edward and daughter Janet. No funeral is pl...","Paid Notice: Deaths MCDOWELL, SAMUEL",201501,0.5423,0.105,0.735,0.16
"CUOMO--Governor Mario M. The Modell family is devastated at the passing of our dearest friend, Governor Mario M. Cuomo. Our friendship spanned over 50 years. We will miss his wise counsel and caring concern. We extend our heartfelt condolences to ...","Paid Notice: Deaths CUOMO, GOVERNOR MARIO M",201501,0.9393,0.095,0.544,0.361
"FRIEDMAN--Reginia, M.D. 1/3/59-3/30/01 You were the dearest gift of all little sister. Love Always, Esther, Your Shvester 1/3","Paid Notice: Memorials FRIEDMAN, REGINIA",201501,0.8865,0,0.59,0.41
"CUOMO--Mario. Our heartfelt condolences to Matilda, Maria, Margaret, Madeline, Andrew, Christopher and their families on the passing of their beloved husband, father, grandfather and friend. Mario Cuomo will continue to be an inspiration to all th...","Paid Notice: Deaths CUOMO, MARIO",201501,0.9246,0,0.705,0.295
"The Bruins built a 31-6 lead at the break against Kansas State, then weathered a second-half rally by the Wildcats.",U.C.L.A. Holds On Against Kansas State,201501,0,0,1,0
"Mason Plumlee had 18 points and 9 rebounds, helping the visiting Nets beat the Orlando Magic, 100-98.","Nets Contain Rally by Magic, Returning to .500 With a Win",201501,0.296,0,0.872,0.128
"Tavares’s 16th and 17th goals of the season helped the Islanders defeat the Flames, 2-1, and keep pace with the Penguins atop the Metropolitan Division.",John Tavares Scores Twice as Islanders Win Third Straight Game,201501,-0.4588,0.111,0.889,0
The injury-depleted Knicks lost for the 20th time in 21 games as the struggling Pistons easily sent them to their ninth straight home loss.,"Knicks, Desperate for Points and Bodies, Fall Again",201501,-0.4767,0.241,0.619,0.14
"The Egyptian ambassador says an American scholar was turned away because she lacked the required visa, not for political reasons.",Denied Entry to Egypt,201501,0,0,1,0
Readers react to the accidental shooting of a mother by a toddler who reached into her purse containing a gun.,A Toddler and a Gun,201501,-0.3182,0.194,0.733,0.073
"In an unremarkable season, honoring the team’s former stars has become a highlight, and Dallas’s Rajon Rondo was the latest to benefit.","Rajon Rondo Stars in Boston, Wearing Blue This Time",201501,0.8271,0,0.674,0.326
Readers explain the appeal of a fast-growing region.,The South’s Newcomers,201501,0,0,1,0
"Teachers, current and former, respond to a Sunday Review article.",The Trouble With Common Core Standards,201501,0,0,1,0
Readers react to the death of the former New York governor.,Mario Cuomo: The Liberal Idealist,201501,-0.5994,0.281,0.719,0
"Mr. Williams, the father of the singer Lucinda Williams, was a man of economical speech whose admirers included Richard Yates and Flannery O’Connor.","Miller Williams, Plain-Spoken Arkansas Poet, Dies at 84",201501,0.4019,0,0.886,0.114
Police Commissioner William J. Bratton urged New York City officers not to demonstrate antagonism when Mayor Bill de Blasio appears at the service for an officer who was killed on duty.,"No Turned Backs at Officer Liu’s Funeral, Bratton Asks",201501,-0.4756,0.125,0.808,0.067
"Arizona has been slumping and will host Carolina, which has been one of the league’s hottest teams in the last month despite its losing record.",N.F.C. Wild-Card Matchup: Arizona Cardinals vs. Carolina Panthers,201501,0.2924,0,0.917,0.083
"Baltimore has typically not performed well in playoff games at Pittsburgh, but an injury to the Steelers’ Le’Veon Bell could help the Ravens.",A.F.C. Wild-Card Matchup: Baltimore Ravens vs. Pittsburgh Steelers,201501,-0.1424,0.178,0.698,0.124
"The new rule applies to about 150,000 children in city-licensed day cares and preschools, covering those from 6 months to 5 years of age.",New York City Requiring Flu Shots for Preschoolers,201501,0.4588,0,0.875,0.125
Why Thomas Piketty doesn’t want an award — at least not from the French government.,The Legion of Honor? Thomas Piketty Refuses,201501,0.5859,0,0.73,0.27
"Lottery numbers for New York, New Jersey and Connecticut.","Winning Lottery Numbers for Jan. 2, 2015",201501,0,0,1,0
Steelers Coach Mike Tomlin ruled Bell out of the first round of the playoffs on Friday after Bell missed a third straight day of practice with a hyperextended knee.,Steelers’ Le’Veon Bell to Miss Wild-Card Game With Knee Injury,201501,-0.0772,0.076,0.859,0.065
A photograph in a North Korean newspaper of Kim Jong-un’s younger sister wearing what may be a wedding ring has prompted suggestions that she recently married the son of one of Mr. Kim’s close aides.,A Ring Sparks Speculation That North Korean Leader’s Sister Has Married,201501,0,0,1,0
"State ethics laws are incredibly feeble, and penalties for violations can be little more than a tap on the wrist.",Albany Lawmakers and Their Secret Incomes,201501,-0.7089,0.257,0.743,0
"Jewish settlers threw stones at American consular officials on Friday during a visit the officials made to the West Bank, Israeli police and Palestinian witnesses said.",West Bank: Settlers Throw Stones at American Consular Officials,201501,0,0,1,0
"Mr. Dickens, who was small in stature but had a big voice, sang about rural life.","Jimmy Dickens, an Outsize Country Singer, Dies at 94",201501,0,0,1,0
