snippet,headline__main,year_mo,compound,negative,neutral,positive
Officials believe that the birds contracted the virus by eating infected waterfowl that died in the Great Salt Lake.,West Nile Virus Is Behind Bald Eagle Deaths in Utah,201401,-0.4019,0.253,0.595,0.152
Rory McIlroy and the tennis star Caroline Wozniacki announced their engagement on Twitter.,McIlroy and Wozniacki Engaged,201401,0.4588,0,0.8,0.2
Brett Hundley threw two touchdown passes and ran for two more scores to help No. 17 U.C.L.A. rout Virginia Tech in the Sun Bowl in El Paso.,U.C.L.A. Wins Bowl in a Rout,201401,0.1935,0.073,0.829,0.098
"Jeff Teague sank two free throws that gave Atlanta the lead with less than two minutes left, and Paul Millsap had season highs with 34 points and 15 rebounds.",Hawks Rally Over Celtics in Late Run,201401,0.5106,0,0.895,0.105
"Spurs’ Coach Gregg Popovich said Brooklyn has been hit with so many different problems, “You can almost not even begin to deal with that.”",Nets End Year Gaining Nothing but Sympathy,201401,-0.4522,0.114,0.886,0
"TaShawn Thomas scored 23 points, including two free throws with nine seconds left, and blocked a late layup by Shabazz Napier as host Houston defeated No. 17 Connecticut.","UConn Falls Far Behind, Then Comes Up Short at Houston",201401,-0.4767,0.22,0.682,0.098
"Lottery numbers for New York, New Jersey and Connecticut.","Winning Lottery Numbers for Dec. 31, 2013",201401,0,0,1,0
"In his New Year’s Day speech, Kim Jong-un called for improved ties with his country’s wary neighbor, while boasting of his regime’s tighter grip on power.",North Korean Leader Says He Wants Better Ties With South,201401,0.4767,0,0.89,0.11
"Mrs. Bush, 88, was admitted to Houston Methodist Hospital on Monday for treatment of pneumonia and remained there Tuesday evening.",Barbara Bush Hospitalized for Pneumonia in Texas,201401,0.1027,0,0.931,0.069
"The utility company had requested a $450 million rate increase, which would raise electricity rates by as much as 8 percent.",Con Ed Agrees Not to Raise Its Residential Electricity Rate for 2 Years,201401,0.3182,0,0.887,0.113
"Brad Richards had the lone goal in a shootout after defenseman Dan Girardi, whose earlier blunder cost the Rangers a goal, scored with 2:10 left to send the game to overtime.",Rangers Overcome Miscue to Top Panthers in Shootout,201401,-0.25,0.07,0.894,0.036
"A New Jersey boy is accused in the deaths of two teenagers who were among five people shot and killed around Newark on Christmas Day, officials said.","Boy, 15, Charged With Murders in Newark",201401,-0.7717,0.218,0.782,0
"Defenseman Ryan McDonagh, always eager to deflect credit to teammates, has been difficult to overlook this season as he has emerged as an offensive force for the Rangers.","McDonagh Is Expanding His Game, and Adding Admirers",201401,-0.0772,0.159,0.663,0.179
Justice Sonia Sotomayor is giving the government until Friday morning to respond to her decision on President Obama’s health care law.,Justice Blocks Contraception Mandate on Insurance in Suit by Nuns,201401,0.8402,0,0.667,0.333
"The former Red Wings’ star Red Berenson, 74, helped defend a victory in one of two Winter Classic alumni games pitting teams from Detroit and Toronto.","As Alumni Meet at the Winter Classic, Even 74-Year-Old Likes to Have Coach’s Confidence",201401,0,0,1,0
"The former Red Wings’ star Red Berenson, 74, helped defend a victory in one of two Winter Classic alumni games pitting teams from Detroit and Toronto.","As Alumni Meet at the Winter Classic, Even 74-Year-Old Likes to Have Coach’s Confidence",201401,0,0,1,0
"Some classes never met and some grades were illicitly changed in a University of North Carolina department that attracted numerous athletes, and a respected professor now faces a criminal charge.","A’s for Athletes, but Charges of Fraud at North Carolina",201401,0.3612,0.102,0.721,0.177
"After years of negotiations, the city and the produce market’s owners reached an agreement that keeps the market and its 3,000 jobs in the South Bronx until 2021.",City Makes Deal to Keep Market at Hunts Point,201401,0.5574,0,0.85,0.15
Mr. Cuomo on Tuesday granted pardons to three men who had already completed their sentences.,Cuomo Issues Pardons for First Time in Office,201401,0.5267,0,0.69,0.31
"Two men suffered apparently non-life-threatening wounds around 8:50 p.m., as New Year’s Eve festivities were underway in Times Square, fire officials said.",2 Slashed at Port Authority Bus Terminal,201401,-0.3612,0.202,0.686,0.112
"Bobby Bowden has come to terms with being forced out after leading the Florida State football program for 33 years, and praises the accomplishments of Jimbo Fisher.",Bowden Adjusts to His Life as a Dadgum Retiree,201401,0.1027,0.096,0.796,0.108
"A daily dose of 2,000 I.U.’s slowed the decline of people with mild to moderate Alzheimer’s disease in a study of more than 600 veterans at hospitals across the country.",High-Dose Vitamin E Slows Decline of Some Alzheimer’s Patients in Study,201401,0,0,1,0
Gov. Andrew M. Cuomo called on the State Assembly to “seriously consider” expelling Micah Z. Kellner and Dennis H. Gabryszak if they did not leave of their own accord.,Cuomo Prods Assemblymen to Resign,201401,-0.351,0.085,0.878,0.037
"McENTEGART--Eileen, F.,84, passed away December 29, 2013, at her home in Katonah, NY. Born July 1, 1929, she graduated from The College of New Rochelle and earned an MBA from New York University. Her career began at M.W. Kellogg Company as a junio...","Paid Notice: Deaths  MCENTEGART, EILEEN, F.",201401,0,0,1,0
"EINHORN--Ellen, passed peacefully on December 30, 2013. We are heartbroken at the loss of our beloved mom and best friend. Funeral services will take place on Thursday, January 2, at Plaza Jewish Community Chapel, 630 Amsterdam Avenue at 9:45am. E...","Paid Notice: Deaths  EINHORN, ELLEN",201401,0.7184,0.162,0.587,0.251
"CROUSE--Anna. The Juilliard community mourns the death of Anna Crouse, a longtime member of the School's Board of Trustees. With intelligence, charm, and true determination, she was an important force in supporting the School's drama division over...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.7906,0.141,0.523,0.335
"EGGERTH--Marta, legend of stage and screen, died peacefully at her Westchester home on December 26th at age 101. Funeral services take place on Thursday, January 2nd at Frank E. Campbell Funeral Home, 1076 Madison Avenue at 81st Street, New York C...","Paid Notice: Deaths  EGGERTH, MARTA",201401,-0.6369,0.176,0.755,0.069
"ALPERT--Dr. Joel. UJA-Federation of New York mourns with deep sadness the passing of Dr. Joel Alpert, beloved husband of Barbara. Barbara and Joel have instilled a legacy of philanthropy within their beloved children and grandchildren that will co...","Paid Notice: Deaths  ALPERT, DR",201401,0.0772,0.137,0.719,0.144
"JOHNSON--David R. In Memory of: David R Johnson. David R Johnson was a surrealist existentialist whose philosophy pervasively influenced his life and career. He was a proud parent, a good friend, an excellent teacher, a street photographer, and a ...","Paid Notice: Deaths  JOHNSON, DAVID R",201401,0.9169,0,0.692,0.308
"ABOUD--Sylvia, of Riverdale, NY and Greenwich, CT, died on December 30 at 81. Born in Brooklyn, NY in 1932, formerly married to Morris Aboud (deceased). Sylvia was a talented artist, clothing designer, and pattern maker. She and her family spent m...","Paid Notice: Deaths  ABOUD, SYLVIA",201401,-0.0772,0.08,0.846,0.073
"SCHWARTZ--Florence Part, beloved mother of Edward, Susan and Steven, their spouses Judy, Jonathan and Jil, grandmother of Lisa, Samantha, Sarah and Benjamin, passed away on Friday December 27th. She was preceded in death by her dear husband Bernar...","Paid Notice: Deaths  SCHWARTZ, FLORENCE PART",201401,0.25,0.087,0.781,0.132
"CROUSE--Anna. The Board and Staff of Lincoln Center Theater are deeply saddened by the death of our beloved Anna Crouse. A longtime Director and an Honorary Trustee for many years, Anna was passionate about the Theater, particularly our theater. S...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.3626,0.147,0.638,0.215
"In Britain, sluggish growth and rising prices have left a mark: earnings have stagnated while the cost of living has gone up by almost 20 percent.",Food Need Grows Among Britain’s Working Poor,201401,-0.0258,0.095,0.813,0.092
"DeMar DeRozan scored 26 points, and Kyle Lowry had 13 points and a season-high 14 assists to help Toronto extend its season-best winning streak to four games.",Raptors Knock Off Pacers,201401,0.7783,0,0.747,0.253
Arvind Kejriwal and his political party represent an evolution of both elite and mass protests in India.,Delhi’s New Chief Minister Strikes a Chord With the People,201401,0.2023,0.097,0.765,0.138
Television highlights.,What’s on Thursday,201401,0,0,1,0
"Kate DiCamillo, author of “Because of Winn-Dixie,” has been chosen to serve as the fourth national ambassador for young people’s literature.",Newbery Winner to Promote Her Genre,201401,0,0,1,0
"WABC-AM is introducing a new lineup on Thursday that emphasizes live and local programming, as its two most popular hosts, Rush Limbaugh and Sean Hannity, move to a rival station, WOR-AM.",Talk Radio on WABC Shifts Focus to the Local,201401,0.4754,0,0.901,0.099
The ReCode site was started by Walter Mossberg and Kara Swisher after they parted ways with News Corporation and The Wall Street Journal.,New Venture for AllThingsD Journalists,201401,0,0,1,0
"Even as Mario Testino pays tribute to the traditional costumes of his native country, a number of current designers are taking cue from Peru’s style legacy.",Peruvian Style Gets a Contemporary Update,201401,0.0772,0,0.949,0.051
The up-and-coming Brooklyn designers Chen Chen and Kai Williams devised their own rugmaking technique that combines multiple disparate fibers into whimsical assemblages.,Cleverly Made Carpets That Look Good Enough to Eat,201401,0.0772,0,0.942,0.058
"Mayor Bill de Blasio’s swearing-in ceremony, which featured a D.J., a singer and New York’s Youth Poet Laureate, began with a chance meeting underground with Michael R. Bloomberg.","An Inaugural Pageantry, With Verse, Song and Surprise Meetings",201401,0.25,0,0.923,0.077
"Maria Lamb earned her third trip to the Olympics by winning the 5,000 meters at the United States speedskating trials in Kearns, Utah.",A Third Olympic Berth for Lamb,201401,0.7351,0,0.772,0.228
The Toronto Maple Leafs acquired the veteran defenseman Tim Gleason from the Carolina Hurricanes in exchange for defenseman John-Michael Liles.,Leafs Acquire Defenseman Gleason,201401,0.0516,0,0.891,0.109
"Michael van Gerwen of the Netherlands won his first world darts title by beating Peter Wright, 7-4, in London to help make up for losing the final to Phil Taylor last year.",World Darts Title for Dutchman,201401,0.2023,0.14,0.7,0.16
"Arsenal stayed on top of the Premier League after scoring two late goals in a 2-0 win over Cardiff, while fellow title rivals Manchester City, Chelsea and Liverpool also had victories.",Arsenal Maintains Top Spot,201401,0.6808,0,0.833,0.167
"Third-seeded Andy Murray, playing in his first tournament since back surgery in late September, was upset by Florian Mayer at the Qatar Open.",Murray Falls Early in Qatar,201401,-0.2023,0.102,0.827,0.071
"Wesley Saunders scored 21 points, and Harvard scored its sixth straight victory over Boston College and its eighth straight win of the season.",Harvard Extends Hot Streak,201401,0.765,0,0.725,0.275
"Monta Ellis scored 23 points, Vince Carter had 13 and the Dallas Mavericks held the host Washington Wizards scoreless for more than four minutes late in the fourth quarter.",Mavericks Upend Wizards,201401,0,0,1,0
The presence of former President Bill Clinton and former Secretary of State Hillary Rodham Clinton at Mayor Bill de Blasio’s inauguration signals an alliance that could prove mutually beneficial.,"With Clintons in His Corner, de Blasio Bolsters Ties to His Party’s ‘Gold Standard’",201401,0.4404,0,0.906,0.094
"Even a little more dressed up than usual, as the de Blasios were Wednesday, it was still clear that his election marked a departure from the Bloomberg years in more ways than one.","At Inauguration, Seeing Another Sign of Change in What the First Family Wore",201401,0.3818,0,0.92,0.08
"Corrections appearing in print on January 2, 2014.","Corrections: January 2, 2014",201401,0,0,1,0
"Islamist militants stormed police stations in several cities of Iraq’s restive western province of Anbar on Wednesday, seizing weapon caches and freeing prisoners after security forces dismantled a Sunni protest camp on Monday.",Iraq: Police Stations in Anbar Attacked,201401,-0.25,0.188,0.675,0.138
Raising the minimum wage is good politics and even better economics.,The Campaign for a Bigger Paycheck,201401,0.7003,0,0.608,0.392
Florida State’s Sod Cemetery contains the remains of patches of grass from fields where the Seminoles recorded an upset victory as a visitor or scored a win in a major game.,Major Florida State Wins Live On in Sod Cemetery ,201401,0.296,0.08,0.802,0.117
"Quotation of the day for Thursday, January 2, 2014.","Quotation of the Day for Thursday, January 2, 2014",201401,0,0,1,0
"Blue Jackets defenseman Jack Johnson, a 10-time member of the national hockey team, was among the veterans left out when the Olympic roster was announced after the Winter Classic.","With Talent Abundant, U.S. Makes Tough Cuts",201401,0.0258,0,0.961,0.039
"Winning numbers for New York, New Jersey and Connecticut.","Winning Lottery Numbers for Jan. 1, 2014",201401,0.5267,0,0.702,0.298
"Before you forget about 2013 entirely, let’s see how well you paid attention to major events. No peeking at the answer key, people, until all questions have been completed!",Totally Final Year-End Quiz,201401,-0.3164,0.135,0.8,0.065
"Michigan State’s victory against Stanford hinged on Connor Cook, a quarterback who started the season as a backup, and Kyler Elsworth, a linebacker who arrived on campus as a walk-on.","After Pageantry, Tough Stop and Timely Passes Lift Spartans in Rose Bowl",201401,0,0,1,0
"When Michael C. Skakel first sued a TV program for libel, lawyers countered that, as a convicted murderer, Mr. Skakel had no reputation left to lose, but now his conviction has been overturned.","At Issue in Skakel’s Libel Suit Against TV Host, Degrees of Tarnish on a Reputation",201401,-0.6428,0.182,0.818,0
A 12-page plea for reconciliation addressed to the people of Britain in 1775 was discovered in a folder with colonial-era doctor’s bills at the Morris-Jumel Mansion in New York.,Letter Tied to Fight for Independence Is Found in Museum’s Attic,201401,0,0,1,0
"Kevin Garnett, who is averaging career lows in most statistical categories and is having trouble establishing his role, said this season was the most frustrating of his career.",Garnett’s Spirits Dip With His Production,201401,-0.7713,0.235,0.765,0
"Hospitals said they were getting ready for an influx of newly insured patients, but many health care providers said the pace was slower than usual because of the New Year’s holiday.",Consumers Start Using Coverage Under Health Law,201401,0.8625,0,0.745,0.255
"Nearly a hundred small artifacts, some dating back to the time of the pharaohs, are missing from a museum in southern Egypt, officials said Wednesday",Egypt: Artifacts Taken From Museum,201401,-0.296,0.091,0.909,0
"The Redskins received permission from the Giants to interview their defensive coordinator, Perry Fewell, for the Washington head coaching job, according to people aware of the conversations between the teams.",Redskins’ Coach Search Is Said to Include Fewell,201401,0.0258,0,0.963,0.037
"The child died on Wednesday morning when a fire ripped through the top floor of a rowhouse in the East Elmhurst neighborhood of Queens, the authorities said.","Boy, 7, Is Killed in Fire Begun by Fireplace Spark",201401,-0.6369,0.201,0.738,0.06
A new campaign for Staples promotes the fact that the office products chain sells much more these days than folders and clips.,"Telling the World It Sells Stethoscopes, Too",201401,0.34,0,0.893,0.107
"Mr. Avery, who played the surrogate father to Will Smith’s character on the 1990-96 NBC sitcom, also appeared in movies and was a popular voice-over actor.","James Avery, ‘Fresh Prince’ Actor, Dies at 68",201401,0.6369,0,0.816,0.184
"Before you forget about 2013 entirely, let’s see how well you paid attention to major events. No peeking at the answer key, people, until all questions have been completed!",Totally Final Year-End Quiz,201401,-0.3164,0.135,0.8,0.065
South Carolina quarterback Connor Shaw threw for three touchdowns and also had scores rushing and receiving as the Gamecocks beat Wisconsin in the Capital One Bowl.,Shaw Ends South Carolina Career With Bowl Win,201401,0,0,1,0
Justice Sonia Sotomayor’s injunction against the part of the health care law related to coverage for birth control broadened the avenues for opponents.,Health Law Challenge Opens Up New Front,201401,0.765,0,0.761,0.239
"The agreement, which is expected to close on Jan. 20, will allow the carmaker and the union to end months of negotiations over the value of the United Automobile Workers’ stake.","Fiat, in Deal With Union, Will Buy Rest of Chrysler",201401,0.8519,0,0.724,0.276
"ZYLBERBERG--Abraham Leib, of New York, NY, passed away peacefully on January 1 surrounded by his family. He is survived by his wife of 36 years, Harriet Shapiro, his son David Zylberberg and his daughter-in-law Elizabeth. Born in Lodz, Poland in 1...","Paid Notice: Deaths  ZYLBERBERG, ABRAHAM LEIB",201401,0.7717,0,0.85,0.15
ELLMAN--Sidney Dad - Your memory lives on in special ways every day. Joyce,"Paid Notice: Memorials  ELLMAN, SIDNEY",201401,0.4019,0,0.803,0.197
"CROUSE--Anna, We mourn the passing of Anna Crouse, the wife of our co-founder, the late Russel Crouse. Together, they created great theater and championed generations of theater artists, including our playwrights. In the half-century since Russel'...","Paid Notice: Deaths  CROUSE, ANNA",201401,0.6705,0.065,0.742,0.193
"LANDESS--Ira, on December 31, 2013. Loving husband, father, grandfather and brother. Services Monday, 11:45am at ""the Riverside,"" W. 76th St. at Amsterdam Ave.","Paid Notice: Deaths  LANDESS, IRA",201401,0.5994,0,0.849,0.151
CARR--Kristen Ann. Your spirit and beauty inspire us every day.,"Paid Notice: Memorials  CARR, KRISTEN ANN",201401,0.8481,0,0.432,0.568
"FEIG--Arnold. On January 1, 2014. Beloved brother of Lenore, devoted brother-in-law of Michael. Cherished uncle of Jeffrey, Daniel and Joseph. Survived by loving family and friends. Services January 5, 11:15am at Riverside Memorial Chapel, 76th St...","Paid Notice: Deaths  FEIG, ARNOLD",201401,0.9618,0,0.605,0.395
"CHILES--Dr. Lucylee, 72, of 185 Claremont Ave, New York passed away peacefully on December 23 at Calvary Hospital after a long illness. Dr. Chiles' rich life was intertwined with her passion as an artist and art educator. Beginning in post war Jap...","Paid Notice: Deaths  CHILES, DR",201401,0.5267,0.125,0.684,0.19
"ALPERT--Dr. Joel J.,The Board of Directors of American Friends of Shalva mourn the passing of Dr. Joel J. Alpert, beloved father of Shalva Co-President Norman Alpert. We extend our deepest sympathies to his wife Barbara and the entire family. May ...","Paid Notice: Deaths  ALPERT, DR. JOEL J.",201401,0.6486,0.058,0.772,0.169
"DiLORENZO--Chris W.,Founder of Pocantico Resources Inc., on December 25, after a brave battle with cancer. He leaves a profound legacy of integrity, love and laughter, especially for his wife, Ruth, and sons, Christopher and John; his parents, Bes...","Paid Notice: Deaths  DILORENZO, CHRIS W.",201401,0.7506,0.139,0.595,0.266
"HANDWERKER--Marian. Beloved Mother to Neil and Marissa, Grandmother to Brett, Jake and Fiona, and Sister to Jerri Sherman. Services: Sunday, 11:45am, Riverside, 76th and Amsterdam.","Paid Notice: Deaths  HANDWERKER, MARIAN",201401,0.5106,0,0.879,0.121
"CUNNINGHAM--John Berton, 49, of New York City, died December 20, 2013. He is survived by his wife, Holland Burford Cunningham, and his three children, Reid, Charlotte, and Eloise. Jack was a native of Richmond, Virginia and attended St. Christophe...","Paid Notice: Deaths  CUNNINGHAM, JOHN BERTON",201401,-0.0772,0.084,0.839,0.077
"BENENSON--Jane Stein (nee Garcy), widow of Charles B. Benenson, mother of Cathy Ives, grandmother of Galen McCown and Sion McCormick, stepmother of Lawrence, Billy and Freddy, aunt of Maggie Bruck and Nancy Bruck. Died peacefully in her North Hill...","Paid Notice: Deaths  BENENSON, JANE STEIN (NEE GARCY)",201401,-0.0516,0.082,0.841,0.077
"BENENSON--Jane Stein. We mourn the loss of our father Charlie's widow, Jane. She passed away at the age of 94 on Monday, December 30. Jane and Charlie were together over 24 years until his passing in 2004. Charlie met Jane in 1948 and was overjoye...","Paid Notice: Deaths  BENENSON, JANE STEIN",201401,-0.6249,0.106,0.894,0
"BINGER--Bronson, The directors and staff of Forestdale, Inc. are saddened by the death of Bronson Binger, member of our board for over fifteen years. Bronson helped pioneer the Fathering Initiative in 1998, a movement that has successfully re-enga...","Paid Notice: Deaths  BINGER, BRONSON",201401,-0.6249,0.164,0.764,0.072
"KARKAR--Edward Mitri. Edward Mitri Karkar, 81, of San Francisco, CA died December 22nd 2013. Born to a prominent family in Jaffa, Palestine, and formerly a refugee, he was one of the first Palestinians to immigrate to America and achieve a high de...","Paid Notice: Deaths  KARKAR, EDWARD MITRI",201401,-0.3182,0.084,0.862,0.054
"HUBER--Dorothy. On 11 December 2013, Palm Harbor, Florida. Born 12 July 1931, Bronx, New York, daughter of Walter and Louise (Saegert) Speckenbach. A devoted educator, Dorothy taught English in Nanuet and East Ramapo, NY. Survived by her husband o...","Paid Notice: Deaths  HUBER, DOROTHY",201401,0.7184,0,0.857,0.143
"Rafael Nadal reached the final of the Qatar Open by coming from behind to beat a qualifier, Peter Gojowczyk, 4-6, 6-2, 6-3.",Nadal Comes From Behind to Advance in Qatar,201401,0.1027,0,0.935,0.065
"Hospitals around the country have been swamped by a wave of malnourished children in the past year, but the causes are unclear.",Afghanistan’s Child Hunger Crisis,201401,-0.3612,0.111,0.889,0
"Clemson allowed 20 straight points, evoking memories of their 2012 Orange Bowl loss, but took the lead for good midway through the fourth quarter on Tajh Boyd’s fifth touchdown pass.",Clemson Comes Back From Ohio State Rally to Win Orange Bowl,201401,0.5647,0.049,0.795,0.156
Television highlights.,What’s On Saturday,201401,0,0,1,0
"The Olympic gold medalists Steve Yzerman and Nicklas Lidstrom, both Stanley Cup-winning captains for the Detroit Red Wings, will enter the International Ice Hockey Federation Hall of Fame.",International Hockey Honor for Two Ex-Red Wings,201401,0.4404,0,0.903,0.097
"The Cavaliers’ All-Star guard, Kyrie Irving, will miss Saturday’s game against the Nets with a bruised left knee. He also sat out Thursday’s home win over Orlando.",Cavaliers’ Irving Will Miss Game Against Nets,201401,0.4939,0.054,0.816,0.129
"Beat Hefti and Alex Baumann of Switzerland won a World Cup two-man bobsled competition on Friday in Germany, ending the American pilot Steven Holcomb’s seven-race winning streak.",American’s Bobsled Streak Ends,201401,0.7964,0,0.772,0.228
The National College Players Association will fly a banner over the Rose Bowl on Monday urging the N.C.A.A. to earmark money to treat and prevent concussions.,N.C.A.A. Faces Prodding on Concussions,201401,0.4215,0,0.858,0.142
Jordan Spieth made a 12-foot birdie putt on the final hole for a seven-under 66 to share the lead after one round of the Tournament of Champions in Hawaii.,Spieth Shares Lead in Hawaii,201401,0.6808,0,0.817,0.183
"The chairwoman of the Los Angeles Sparks, Paula Madison, has told the W.N.B.A. that the league should look for new owners of the club.",Sparks’ Owner Looking to Sell,201401,0,0,1,0
"Pittsburgh’s Sidney Crosby put up a goal and two assists as the Rangers continued to have problems with the Penguins, the Metropolitan Division leaders.",Penguins Beat Rangers for 10th Time in 12 Meetings,201401,-0.4019,0.109,0.891,0
"Compiling a season-high 29 assists, with 11 by Kyle Lowry, and getting 17 or more points from four players, including 20 from DeMar DeRozan, the Raptors beat the Wizards.",Raptors Win Fifth Straight by Vanquishing Wizards,201401,0,0,1,0
"A longtime friend of the rapper 50 cent was killed, according to the police and witnesses.","Gunman Fires at Moving S.U.V. in Queens, Killing One and Wounding Three Others",201401,-0.3182,0.217,0.628,0.155
"The Nets followed up a big loss to the Spurs with a stirring victory against the Thunder, just as they did last season to start a seven-game winning streak.",Turning Point for Nets? Victory Over Oklahoma City Did Trick Last Season,201401,0.2732,0.077,0.808,0.114
"Iman Shumpert, often dejected during the first two months of the season, had a renewed confidence after scoring 27 points Thursday. He added 26 points Friday.","Knicks’ Shumpert Rediscovers His Shot, and His Smile",201401,0.0258,0.108,0.78,0.112
