snippet,headline__main,year_mo,compound,negative,neutral,positive
"GLANTZ--Irwin L.,91, died peacefully at home on December 26, 2015 after a brief illness, with his loving family at his side. He is survived by his beloved wife of 62 years, Gene; devoted children Paul, Judith Kingman, and Robert; grandchildren Ale...","Paid Notice: Deaths  GLANTZ, IRWIN L.",201601,0.8834,0.113,0.59,0.297
"SCHEINMAN--Alan. Happy 71st Birthday. Miss your smile, humor & suntan. Scheinman & Levien Family 1/3","Paid Notice: Memorials  SCHEINMAN, ALAN",201601,0.7717,0.085,0.476,0.439
"SHORT--Stephen. June 11, 1945-December 12, 2015. Stephen Short, a former Procter of the Admiralty, who also served in the Merchant Marine, passed away on December 12th. A longtime member of the New York State bar, his legal career encompassed mari...","Paid Notice: Deaths  SHORT, STEPHEN",201601,0.4019,0,0.907,0.093
"GEIGER--Melissa Brown Wiley, died of natural causes in New York City on Saturday, December 19, 2015 surrounded by her loving family. Born in Bay Shore, NY in 1937, she was the oldest child of Melissa Adams and Robert Hoffman Wiley. Melissa graduat...","Paid Notice: Deaths  GEIGER, MELISSA BROWN WILEY",201601,0.4215,0.073,0.796,0.131
"REED--Dolores, died peacefully at her Wellington, FL home on December 29, 2015 surrounded by her family. She was a devoted wife for 66 years to her husband, Howard, a loving mother to her children, Janet and Rob, their spouses Dan and Julie, and h...","Paid Notice: Deaths  REED, DOLORES",201601,0.4215,0.133,0.683,0.185
"The renowned 98-year-old architect told the police that his aide, Eter Nikolaishvili, 28, grabbed his right forearm and forcefully twisted it on Dec. 13.",Aide Charged in Assault on I. M. Pei,201601,0,0,1,0
"Three adults were killed and three others were severely injured when a tractor-trailer struck their S.U.V. on an icy highway, the police said.",A Hastings-on-Hudson Couple and a Friend Die in a Head-On Crash in Vermont,201601,-0.9042,0.404,0.596,0
"Hugo Galindo had planned to watch the ball drop in Times Square. But early Thursday morning, he was beaten and stabbed just blocks from his home.","Bronx Man, a Father Figure in His Family, Is Fatally Attacked by 6 Men",201601,-0.8271,0.306,0.694,0
"No. 16 Villanova may again be the team to beat in the Big East. It thumped No. 6 Xavier, 95-64, at home on Thursday.",Xavier Takes Its First Loss at the Hands of Villanova,201601,-0.5267,0.173,0.827,0
"The king of the AbaThembu clan has started a 12-year sentence for arson, kidnapping and assault, local news media reported on Thursday.",South Africa: A King Goes to Prison,201601,-0.5423,0.158,0.788,0.054
"Mr. Kagame announced his intention to seek a third term in 2017, confirming a decision that was widely expected after the approval of constitutional changes.",Rwanda: President Paul Kagame Says He’ll Run Again,201601,0.4767,0,0.876,0.124
"If approved, the contract would include an 11 percent raise over seven years and measures that would enable more efficient prosecution of inmates who assault officers at Rikers Island.",New York City and Correction Officers Reach Tentative Contract Deal,201601,-0.3368,0.191,0.655,0.154
The leader and five of his companions were killed in a drive-by shooting just hours after he had handed over control of a strategic port to government troops.,Yemen: Assailants Kill a Militia Leader,201601,-0.6705,0.153,0.847,0
The even has grown into a festival of fresh air hockey that this year included for the first time a professional women’s game.,Returning to Outdoor Roots in Winter Classic,201601,0.6705,0,0.776,0.224
"As the new year approached on Thursday, the police in Munich evacuated two train stations and warned residents to avoid large groups, citing “concrete hints” about a possible attack.","Monitoring of Terrorism Threats Has Risen, Official Says",201601,-0.7506,0.228,0.772,0
"Legal experts said the road to conviction was filled with significant hurdles, including a lack of forensic evidence related to the decade-old allegation by the woman at the center of the case.",Experts Foresee Obstacles for Both Sides in Bill Cosby Case,201601,0,0.068,0.833,0.098
"The 39-year-old Tim Duncan has missed San Antonio’s past three games, two of them with soreness in his right knee.",Spurs’ Duncan Is Set to Return in Showdown With the Rockets,201601,-0.296,0.104,0.896,0
"The Red Storm dropped their Big East Conference opener on Thursday. Still Mullin, the St. John’s basketball legend turned first-year coach, sees signs of improvement.",Chris Mullin Sees Mixed Signs in St. John’s Loss,201601,0.4588,0,0.889,0.111
"Depending on whom you ask, the fault for the state of Bridge Park 2 lies with flawed zoning, communication breakdowns or the Jehovah’s Witnesses, who promised to fix it but never did.","As Brooklyn Park Stalls, Fingers Point at Religious Group",201601,-0.25,0.112,0.836,0.052
Can greater defenses be erected? Should homes be vaulted on stilts? Or is it time for some communities to pack up and leave?,Flooding in Missouri Raises Vexing Questions ,201601,0.5484,0.046,0.771,0.183
"Davis, who was mourning his mother when he earned a gold medal at the 1976 Montreal Olympics, had more than 100 victories as an amateur but never won a world title.","Howard Davis Jr., Who Beat Grief to Win Boxing Gold, Dies at 59",201601,-0.599,0.175,0.765,0.06
"A look at how government services in New York, New Jersey and Connecticut will be affected.",Holiday Today New Year’s Day,201601,-0.1531,0.103,0.897,0
"William Ackman’s hedge fund said in a regulatory filing that its stake was now 8.5 percent, down from 9.9 percent, of the drug company that has been drawing fire on several fronts.",Ackman Sheds Some Valeant Shares,201601,-0.34,0.074,0.926,0
Quarterback Greg Ward Jr. and the Houston Cougars showed they could thrive in a big-game atmosphere against a big-name opponent.,Houston’s Attack Upends Florida State ,201601,0,0,1,0
A federal judge has warned that prosecutors may be going too far when they ask witnesses to keep quiet about receiving a subpoena.,Prosecutors’ Secrecy Orders on Subpoenas Stir Constitutional Questions,201601,-0.2732,0.095,0.905,0
"The average tax rate for America’s top 400 income earners rose in 2013, but tax analysts said the tax structure still overwhelmingly favors the very well-off.","Justice in Taxes, Most Likely Short-Lived",201601,0.2846,0.061,0.803,0.136
A court document made public on Thursday suggests that defense lawyers will argue that Mr. Gray was already injured when he was loaded into a Baltimore police van.,"Freddie Gray Complained of ‘Bad Back’ Before Arrest, Filing Says",201601,-0.5574,0.172,0.777,0.051
"A three-year rally was followed by a lackluster performance in 2015 but, given the year’s headwinds, it could have been worse.",A Roller Coaster Year Ends With U.S. Markets Mostly Down,201601,-0.631,0.187,0.813,0
Others are not pleased with the adoption of limits on the pretrial exchange of facts that lawyers call discovery.,Chief Justice’s Report Praises Limits on Litigants’ Access to Information,201601,-0.3412,0.118,0.882,0
"HARTE--Judith Shereff, of Livingston, NJ, passed away in New York City on Wednesday, December 30, 2015 after a long and courageous fight with lung cancer. She was 77. Judi was an amazing mother, grandmother, sister, and woman. She enjoyed gardenin...","Paid Notice: Deaths  HARTE, JUDITH SHEREFF",201601,0.5423,0.136,0.66,0.204
"KATZ--Michael A. Jan. 2, 1946 - Dec. 20, 2002 There is a grief that cannot be spoken. Beloved husband of Margaret. Adored father of Joshua and Jonathan. Father-in-law of Rachel. Grandfather to Sacha, Michael and Marisol Katz. 1/3","Paid Notice: Memorials  KATZ, MICHAEL A",201601,-0.477,0.142,0.791,0.067
"POPISH--Lawrence. Forever in our thoughts, our love is eternal. Mom, Dad & Nancy 1/3","Paid Notice: Memorials  POPISH, LAWRENCE",201601,0.6369,0,0.741,0.259
Louisville Coach Rick Pitino said Friday that the N.C.A.A. had not interviewed him about an escort’s book containing allegations of sex parties at a players’ dormitory.,Pitino Discusses Scandal,201601,0.4019,0,0.899,0.101
"John Wall scored 24 points with 13 assists, and the Wizards extended their dominance over the Orlando Magic with a 103-91 victory in Washington.",Wizards Beat the Magic,201601,0.2023,0,0.924,0.076
The Real Madrid playmaker James Rodríguez was caught by the police driving about 125 miles per hour on his way to a training session.,Woes for Real Madrid Star,201601,0,0,1,0
The Islanders placed defenseman Johnny Boychuk on injured reserve with an upper-body injury.,Islanders’ Boychuk Out,201601,-0.6597,0.331,0.602,0.066
"The World Cup leader Peter Prevc of Slovenia soared 136 meters (446 feet) in the second heat to win the second leg of the ski jumping Four Hills Tour in Garmisch-Partenkirchen, Germany, as the competition headed for the final two events in Austria...",Ski-Jump Leader Prevails,201601,0.5859,0,0.917,0.083
"A video by the Shabab, Al Qaeda’s Somalia branch, criticizes racism in America and features footage of Mr. Trump announcing a plan to bar Muslims from entering the country.",Qaeda Affiliate Uses Video of Donald Trump for Recruiting,201601,-0.7579,0.206,0.794,0
At least two attackers were killed when they entered an Indian air force base near the border with Pakistan and exchanged fire with security forces.,India: Gunmen Attack Air Base,201601,-0.8481,0.312,0.618,0.071
"Mr. Oxley, a former Ohio representative helped write the Sarbanes-Oxley Act after a wave of corporate scandals that brought down the Enron Corporation and WorldCom.","Michael G. Oxley, Co-Author of Anti-Fraud Legislation, Dies at 71",201601,-0.4939,0.127,0.873,0
Canceling cable has meant becoming more intentional and picking out things that are really enjoyable.,Cutting the Cord and Feeling Good About It,201601,0.4927,0,0.814,0.186
"A defensive struggle between the No. 17 Wolverines and the No. 19 Gators never materialized, while the young Volunteers proved they have a bright future by dismantling the No. 12 Wildcats.",Michigan Pounds Florida in Citrus Bowl; Tennessee Routs Northwestern in Outback,201601,-0.5994,0.248,0.641,0.111
A few big things that would make New York a better place.,Mr. Cuomo’s Challenges: The Short List,201601,0.4404,0,0.756,0.244
Some towns began to let residents in to inspect their flood-ravaged homes even as residents flanking the Mississippi River farther south in Missouri and Illinois evacuated.,St. Louis Area Surveys Toll as Flood Risk Shifts South,201601,0,0,1,0
A male California condor has flown back into the wild after a captive breeding program that helped save North America’s largest species of land bird.,"California: Father to Many, Condor Is Set Free",201601,0.4939,0,0.873,0.127
"Bill Cosby made his first public statement since being charged with aggravated indecent assault, posting a message to Twitter saying, “Friends and fans, Thank You.”",Pennsylvania: Cosby Thanks Fans in Message on Twitter,201601,-0.7184,0.274,0.645,0.081
"It looked like Coney Island on a particularly festive summer day, except that it was Jan. 1, when thousands of people flock to the seaside to start their year off the right way — with an unseasonal ocean swim.","Despite a Warmer Winter, Annual Polar Bear Club Swim Still Chills",201601,0.6997,0,0.861,0.139
"Canadiens goalie Mike Condon, who grew up in nearby Holliston, Mass., was rarely threatened in the first 30 minutes as the Canadiens controlled play in both ends.","Canadiens’ Mike Condon, Inspired by a Boston-Area Hero, Stifles Bruins",201601,0.5967,0,0.837,0.163
"Aleksey Bikov came to New York from Tashkent, Uzbekistan, to escape the poverty and anti-Semitism he faced there.","In America, a Man Discovers His Jewish Heritage",201601,-0.3818,0.157,0.762,0.081
"After the Bulls built a big lead, the Knicks managed to nose ahead in the second half, only to go 2 of 19 from the field in the final period.",Knicks Spoil Their Own Comeback With an Implosion in the 4th Quarter,201601,0,0,1,0
"Stephen Hewett-Brown, 25, helped a resident escape a broken elevator on the Lower East Side shortly before he was crushed, witnesses said.",Man Crushed by Elevator at Building That Had a History of Complaints,201601,-0.7506,0.314,0.62,0.066
"New Year’s firecrackers left one dead and 380 injured, and caused a fire that gutted 1,000 dwellings.",The Philippines: Hundreds Injured in Revelry,201601,-0.8555,0.42,0.58,0
"The authorities carried out at least 157 executions in 2015, with beheadings reaching their highest level in two decades, advocacy groups said.",Saudi Arabia: Executions Rise,201601,0.2023,0,0.921,0.079
Israel had been withholding the bodies of suspected attackers as a tactic meant to crack down on violence.,Israel: Military Returns Bodies of Palestinians Linked to Attacks,201601,-0.8658,0.409,0.591,0
The running back was injured in Buffalo’s Week 15 loss to Washington and will miss his second consecutive game.,Bills Will Be Without LeSean McCoy in Their Finale Against Jets,201601,-0.6808,0.292,0.708,0
Two other people were still missing after a small ferryboat sank on New Year’s Eve.,Egypt: 15 Bodies Are Recovered After Ferry Sinks in Nile River,201601,-0.296,0.145,0.855,0
Holistic services are critical to equipping families in need with skills and treatment.,Let’s Rethink Our Homeless Shelters,201601,-0.3182,0.161,0.839,0
The New York senator’s long political career has taken a new turn as Republicans make him their villain of choice — a role he hasn’t exactly rejected.,Chuck Schumer Seems to Relish Role as Chief Villain of G.O.P.,201601,-0.7845,0.231,0.769,0
"The blog OnSmash was among music sites shut down in 2010, accused of copyright infringement and selling counterfeit goods.","5 Years and $7 Later, U.S. Returns a Seized Hip-Hop Site",201601,-0.6486,0.238,0.762,0
"With the craft beer industry growing rapidly over the last decade, more universities are offering online programs about the business side of craft beer.",Universities Offers Classes for Those Interested in Beer,201601,0.1779,0,0.931,0.069
"Russia will file a lawsuit against Ukraine, the Russian finance ministry said, after Kiev failed to repay a $3 billion Eurobond and $75 million in interest by Dec. 31.",Russia to File Suit Against Ukraine for Nonpayment,201601,-0.296,0.161,0.745,0.093
"China, the world’s second-largest economy, looked set for a weak start to 2016 after activity in the manufacturing sector contracted for a fifth straight month in December.",China’s Economy Starts 2016 at Slowest Pace in Years,201601,-0.25,0.104,0.827,0.068
The president of AARP New York State discusses Social Security and retirement savings.,Retiring More Comfortably in New York State,201601,0.34,0,0.833,0.167
Readers discuss how New York City and Albuquerque are trying to address the problem and offer their own suggestions.,"For the Homeless, Help and a Steady Job",201601,-0.4019,0.13,0.87,0
Readers discuss inaction by Congress on a resolution giving the president authority to use military force.,Authorizing War Against ISIS,201601,0.1779,0.113,0.678,0.209
"Ms. Jones, the Broadway star, is playing a lesbian poetry professor with strong feelings about transgender issues on Amazon’s “Transparent.”",A Word With Cherry Jones: ‘I’m Having the Kind of Year Actors Live For’,201601,0.6249,0,0.769,0.231
"A new production of Bizet’s “Les Pêcheurs de Perles” brought Penny Woolcock, the British director and filmmaker, to the Metropolitan Opera.",Review: A Precious Harvest in ‘The Pearl Fishers’ at the Met,201601,0,0,1,0
"About 100 people rallied on the steps of the Capitol, displaying their firearms and exulting that it’s now legal to do so.",Armed Texans Celebrate State’s New Open-Carry Status,201601,0.128,0,0.933,0.067
"Branching out from its usual repertory, the group gave a soaring performance of this expressive liturgical work.","Clarion Choir Delves Into the Liturgy of St. John Chrysostom, a Rachmaninoff Rarity",201601,0,0,1,0
One show plays to the immigration debate and the other centers on life for 20-somethings.,Review: ‘Bordertown’ and ‘Cooper Barrett’ Debut,201601,0.25,0,0.875,0.125
"Marceline Loridan-Ivens, whose memoir takes the form of a letter to her murdered father, says the France where her family sought protection is increasingly at risk.","Jewish Deportee on Persecution, Past and Present",201601,-0.7579,0.22,0.78,0
"The map, created in 1769 by the celebrated British surveyor Bernard Ratzer, has been restored and digitized for the university’s online manuscript collection.",Harvard’s Find of a Colonial Map of New Jersey Is a Reminder of Border Wars,201601,0.7964,0,0.712,0.288
"The revue, which has been running in San Francisco since 1974, still feels fresh and goofy.",A Tip of the Hat to ‘Beach Blanket Babylon’,201601,0.3182,0,0.867,0.133
"William Bratton and Raymond Kelly have both held New York City’s top police job twice, and Mr. Kelly’s comments on crime numbers have forced a simmering tension into the open.","For Bratton and Kelly, Linked Legacies and Locked Horns",201601,-0.7906,0.247,0.702,0.051
The active coordination is turning one of the most inhospitable territories on earth into a complex security challenge for African and global forces.,Jihadists Deepen Collaboration in North Africa,201601,0.6597,0,0.748,0.252
"The New York State attorney general, Eric T. Schneiderman, wants FanDuel and DraftKings to give back the millions of dollars they have made in the state and pay a penalty.",New York Wants Fantasy Customers Repaid,201601,-0.5267,0.14,0.86,0
"Adam Bosworth, a tech pioneer, sees the future in servers that manage and learn from data gathered by sensors implanted in practically everything.",Looking Beyond the Internet of Things,201601,0,0,1,0
"Many retirees, not trying to earn degrees, participate in programs like the Osher Lifelong Learning Institutes, which are affiliated mostly with colleges and universities.",Older Students Learn for the Sake of Learning,201601,0.3612,0,0.902,0.098
"While consensus holds that there is little to no evidence linking cellphone use to an increased risk of health problems, scientists and health agencies disagree about what guidance to give the public.","At C.D.C., a Debate Behind Recommendations on Cellphone Risk",201601,-0.7369,0.243,0.703,0.055
Rex Ryan and his Bills are the final hurdle the Jets need to clear to reach the A.F.C. playoffs.,New York Jets at Buffalo Bills Preview,201601,0.4019,0,0.821,0.179
The Panthers face the possibility of losing out on home-field advantage throughout the playoffs if they lose to the slumping but scrappy Buccaneers.,Tampa Bay Buccaneers at Carolina Panthers Preview,201601,-0.2846,0.145,0.795,0.06
The Cardinals can clinch home-field advantage throughout the playoffs if the Panthers lose to the Buccaneers.,Seattle Seahawks at Arizona Cardinals Preview,201601,-0.1779,0.144,0.749,0.107
"Unless the Rams pull out a victory, it will be their fifth straight losing season under Coach Jeff Fisher.",St. Louis Rams at San Francisco 49ers Preview,201601,-0.1779,0.127,0.78,0.093
"After starting the season 1-4, the Texans can win the A.F.C. South with a victory.",Jacksonville Jaguars at Houston Texans Preview,201601,0.5859,0,0.774,0.226
All eyes will be on Peyton Manning.,San Diego Chargers at Denver Broncos Preview,201601,0,0,1,0
A lot of things have to happen in order for the Colts to make the playoffs.,Tennessee Titans at Indianapolis Colts Preview,201601,0,0,1,0
"There is a possibility this could be the last time we see Sean Payton or Drew Brees, or both, on the Saints’ sideline.",New Orleans Saints at Atlanta Falcons Preview,201601,0,0,1,0
The Bears are 1-6 at home and have not beaten the Lions since 2012.,Detroit Lions at Chicago Bears Preview,201601,0.3252,0,0.848,0.152
The Steelers can still sneak into the postseason as a wild card against the Johnny Manziel-less Browns coupled with a Jets loss in Buffalo.,Pittsburgh Steelers at Cleveland Browns Preview,201601,-0.3182,0.099,0.901,0
The Bengals have locked up the A.F.C. North and can clinch a first-round playoff bye with a win and a Denver loss to San Diego.,Baltimore Ravens at Cincinnati Bengals Preview,201601,0.3612,0.088,0.766,0.146
"New England is pretty banged up, particularly on offense.",New England Patriots at Miami Dolphins Preview,201601,0.2315,0.183,0.561,0.256
"The Chiefs, winners of nine in a row, can clinch the A.F.C. West with a win and a Denver loss.",Oakland Raiders at Kansas City Chiefs Preview,201601,0.6808,0.099,0.603,0.297
"Corrections appearing in print on Sunday, January 3, 2016.","Corrections: January 3, 2016",201601,0,0,1,0
"Quotation of the Day for Sunday, January 3, 2016.",Quotation of the Day,201601,0,0,1,0
Penn State quarterback Christian Hackenberg is leaving college early for the N.F.L.,Penn State Quarterback Leaving Early,201601,0,0,1,0
Crosby scored two power-play goals as the Islanders lost against a divisional opponent in regulation for the first time this season.,Islanders Fall to a Resurgent Sidney Crosby and the Penguins,201601,-0.3182,0.108,0.892,0
Lopsided games and the playing of the College Football Playoff semifinals on New Year’s Eve for the first time led to a 13 percent drop in television ratings for the New Year’s Six bowls from last year.,Ratings Dip for Six Major Bowl Games,201601,-0.0772,0.055,0.897,0.047
General Manager Dennis Hickey has parted ways with the Miami Dolphins at the end of a disappointing season.,Dolphins Part Ways With General Manager,201601,-0.4939,0.167,0.833,0
"Auston Matthews, who is expected to be the No. 1 pick in the 2016 N.H.L. draft, had a hat trick to lead the United States to a 7-0 victory over the Czech Republic in the quarterfinals of the world junior hockey championship in Helsinki, Finland.",Hat Trick for the Projected No. 1 Selection,201601,0.5106,0.072,0.807,0.121
"The bride, a school administrator, and the groom, a financial consultant, met at a restaurant in Malvern, Pa.","Sarah Baker, Scott Adams",201601,0,0,1,0
"Flexibility dominated the $200,000 Jerome Stakes at Aqueduct, the start of the New York road for 3-year-olds heading to the Triple Crown races.",Flexibility Earns Derby Points With Win,201601,0.34,0,0.902,0.098
The couple met on a blind date in New Orleans.,"Veronica Brooks, Kevin Uy",201601,-0.4019,0.252,0.748,0
"Mr. Monteiro is a sales manager with the Blue Man Group, and Mr. Travers is a costume designer for film and television.","Fabio Monteiro, Mitchell Travers",201601,0,0,1,0
"The couple, both book editors, met while working at Random House.","Lindsey Schwoeri, Jonathan Jao",201601,0,0,1,0
"Terry Godwin threw a touchdown pass on a trick play and caught one later, helping Georgia beat Penn State, 24-17, in the TaxSlayer Bowl on Saturday in Jacksonville, Fla.",Georgia Beats Penn State in TaxSlayer Bowl,201601,0.5267,0.04,0.805,0.154
"The bride, a lawyer, and the groom, a trader, had Catholic and Hindu ceremonies.","Dana Walsh, Devashish Kumar",201601,0,0,1,0
Tomas Tatar scored with 2 minutes 50 seconds left in the third period to lift the Detroit Red Wings to a 4-3 win over the Sabres in Buffalo.,Late Goal Lifts Red Wings Over Sabres,201601,0.5859,0,0.868,0.132
"The Arizona Coyotes enforcer John Scott, who has just 1 point while playing part time in the N.H.L. this season, has been voted into the All-Star Game on Jan. 31 in Nashville.",Coyotes Enforcer Voted Onto All-Star Team,201601,0.2023,0,0.943,0.057
"Kelsey Mitchell scored 28 points, and No. 9 Ohio State stunned No. 6 Maryland, 80-71.",Ohio State Stuns Maryland in Big Ten,201601,-0.5859,0.367,0.633,0
"The bride, 40, and the groom, 48, were introduced by their parents.","Jessica Freireich, Geoffrey Mattson",201601,0,0,1,0
"The bride, who works for a wedding registry business, and the groom, who works for a nonprofit group, met through a mutual friend.","Jennifer Spector, Joel Censer",201601,0.4939,0,0.856,0.144
The couple were introduced online.,"Charles Cerulli, James Conrad",201601,0,0,1,0
Dr. Weisz and Mr. Krell were introduced through the dating app Coffee Meets Bagel.,"Jessica Weisz, Caleb Krell",201601,0,0,1,0
The couple met at Penn State.,"Megan Simpson, Adam Collyer",201601,0,0,1,0
"The couple met at the University of Chicago, and reconnected 30 years later via Facebook.","Bonnie Lilienfeld, Damon Darlin",201601,0,0,1,0
The couple met in April 2012 while working together at a Manhattan law firm.,"Francesca Oliva, Christopher Carozza",201601,0,0,1,0
"The couple, who met at the University of Wisconsin, work in San Diego.","Danielle D’Agostino, Ethan Schmidt",201601,0,0,1,0
Two widowers meet on Match.com — and bond over a shared love of New York.,Marianna Koval and Stephen Burgay: Home Is Where the Heart Is,201601,0.765,0,0.645,0.355
"The bride is a painter and sculptor, and the groom is a museum curator.","Martha Clippinger, Marshall Price",201601,0,0,1,0
"In a men’s game in Cincinnati, Remy Abell scored a career-high 21 points, and No. 6 Xavier recovered from its first loss of the season by beating No. 9 Butler, 88-69.",Xavier Bounces Back Against Butler,201601,-0.8271,0.297,0.703,0
"RIFKIN-COMRAS--Blanche. It is with deep sadness we mourn the loss of our longtime Board Member and friend. For over 40 years, Blanche was a valued member of our Board. She was a pillar of our community and will be missed by everyone who knew and l...","Paid Notice: Deaths  RIFKIN, COMRAS, BLANCHE",201601,-0.4767,0.188,0.7,0.112
"ZIELINSKI--Erica Herzig, of Old Bridge, NJ and formerly of Manalapan, NJ and Manhattan, passed away at her home on Sunday, December 27th. She received her master's degree from Columbia University and became a nurse practitioner, specializing in wo...","Paid Notice: Deaths  ZIELINSKI, ERICA HERZIG",201601,0,0,1,0
"LYONS--Steve, Interior decorator, fashion and stage designer, television personality, legend. Passed away on Thanksgiving Day at age 74. 1/3","Paid Notice: Deaths  LYONS, STEVE",201601,0,0,1,0
"KAPLAN--Gilbert. The Board of Trustees and staff of Carnegie Hall mourn the passing of our dear friend and colleague Gilbert Kaplan, passionate music lover and devoted and beloved husband of Lena. Gil joined the Carnegie Hall Board of Trustees in ...","Paid Notice: Deaths  KAPLAN, GILBERT",201601,0.9501,0.05,0.567,0.383
"ROTH--Gary. Beloved husband of Jody Pollack Roth. Devoted father of Gregory Roth and Marni Rubin. Adored grandfather of Emily, Nicholas, and Alexis. Devoted son-in-law of Lester Pollack and the late Arlene. Brother of Joel Roth. Fond nephew, broth...","Paid Notice: Deaths  ROTH, GARY",201601,0.9246,0,0.696,0.304
"HARTE--Judith Shereff, of Livingston, NJ, passed away in New York City on Wednesday, December 30, 2015 after a long and courageous fight with lung cancer. She was 77. Judi was an amazing mother, grandmother, sister, and woman. She enjoyed gardenin...","Paid Notice: Deaths  HARTE, JUDITH SHEREFF",201601,0.5423,0.136,0.66,0.204
